timestamp;voltage;event;tput_app_1;tput_app_2;tput_app_3;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;0.0;1
268.0;4.709143910234445; app_2 ON;0.0;0.0;0.0;2
268.0;4.709143910234445;VOn= 3.74;0.0;0.0;0.0;2
268.0;4.709143910234445; app_1 done;3.73;0.0;0.0;2
301.0;4.825422313698095; app_3 ON;3.32;0.0;0.0;3
301.0;4.825422313698095;VOn= 3.86;3.32;0.0;0.0;3
301.0;4.825422313698095; app_2 done;3.32;3.32;0.0;3
549.0;5.0; app_1 done;3.64;1.82;0.0;3
778.0;5.0; app_1 done;3.86;1.29;0.0;3
1007.0;5.0; app_1 done;3.97;0.99;0.0;3
1039.0;5.0; app_2 done;3.85;1.92;0.0;3
1130.0;5.0; app_3 done;3.54;1.77;0.88;3
1378.0;5.0; app_1 done;3.63;1.45;0.73;3
1607.0;5.0; app_1 done;3.73;1.24;0.62;3
1838.0;5.0; app_1 done;3.81;1.09;0.54;3
1870.0;5.0; app_2 done;3.74;1.6;0.53;3
1962.0;5.0; app_3 done;3.57;1.53;1.02;3
2210.0;4.006059240469042; app_1 done;3.62;1.36;0.9;3
2439.0;2.5125811090596826; app_1 done;3.69;1.23;0.82;3
2504.0;1.879995473012977;PF;3.59;1.2;0.8;0
4825.0;3.8606057566641985;On;1.87;0.62;0.41;3
5057.0;4.476860412850072; app_1 done;1.98;0.59;0.4;3
5287.0;4.825146416921421; app_1 done;2.08;0.57;0.38;3
5319.0;4.868779169557145; app_2 done;2.07;0.75;0.38;3
5549.0;5.0; app_1 done;2.16;0.72;0.36;3
5779.0;5.0; app_1 done;2.25;0.69;0.35;3
6009.0;5.0; app_1 done;2.33;0.67;0.33;3
6041.0;5.0; app_2 done;2.32;0.83;0.33;3
6132.0;5.0; app_3 done;2.28;0.82;0.49;3
6380.0;4.810867761144595; app_1 done;2.35;0.78;0.47;3
6609.0;4.573283145958371; app_1 done;2.42;0.76;0.45;3
6839.0;4.420252036539364; app_1 done;2.49;0.73;0.44;3
6871.0;4.466327820576013; app_2 done;2.47;0.87;0.44;3
6963.0;4.598916281168058; app_3 done;2.44;0.86;0.57;3
7211.0;4.282257722435576; app_1 done;2.5;0.83;0.55;3
7440.0;4.2976332014303935; app_1 done;2.55;0.81;0.54;3
7670.0;3.7199102314432895; app_1 done;2.61;0.78;0.52;3
7702.0;3.718221110410237; app_2 done;2.6;0.91;0.52;3
7794.0;3.7912254161828187; app_3 done;2.57;0.9;0.64;3
8042.0;3.608231042689041; app_1 done;2.61;0.87;0.62;3
8271.0;3.545255888166737; app_1 done;2.66;0.85;0.6;3
8501.0;3.660037905646046; app_1 done;2.71;0.82;0.59;3
8533.0;3.6924403112067727; app_2 done;2.7;0.94;0.59;3
8625.0;3.7903567559714375; app_3 done;2.67;0.93;0.7;3
8872.0;4.045487228076662; app_1 done;2.71;0.9;0.68;3
9101.0;4.2720805752097215; app_1 done;2.75;0.88;0.66;3
9332.0;3.7538602272096826; app_1 done;2.79;0.86;0.64;3
9364.0;3.6785755475339865; app_2 done;2.78;0.96;0.64;3
9456.0;3.592780210151818; app_3 done;2.75;0.95;0.74;3
9703.0;3.214480878768913; app_1 done;2.78;0.93;0.72;3
9932.0;3.3301860343616134; app_1 done;2.82;0.91;0.7;3
10162.0;3.6807431750025463; app_1 done;2.85;0.89;0.69;3
10194.0;3.722133182847885; app_2 done;2.84;0.98;0.69;3
10286.0;3.9048073021974794; app_3 done;2.82;0.97;0.78;3
10534.0;4.232355417606366; app_1 done;2.85;0.95;0.76;3
10763.0;4.490433088141985; app_1 done;2.88;0.93;0.74;3
10994.0;4.384439346426143; app_1 done;2.91;0.91;0.73;3
11026.0;4.404477908694316; app_2 done;2.9;1.0;0.73;3
