timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
268.0;4.709106542899407; app_2 ON;0.0;0.0;2
268.0;4.709106542899407;VOn= 3.86;0.0;0.0;2
268.0;4.709106542899407; app_1 done;3.73;0.0;2
496.0;5.0; app_1 done;4.03;0.0;2
610.0;5.0; app_2 done;3.28;1.64;2
839.0;5.0; app_1 done;3.58;1.19;2
953.0;5.0; app_2 done;3.15;2.1;2
1182.0;5.0; app_1 done;3.38;1.69;2
1295.0;5.0; app_2 done;3.09;2.32;2
1524.0;5.0; app_1 done;3.28;1.97;2
1638.0;5.0; app_2 done;3.05;2.44;2
1867.0;5.0; app_1 done;3.21;2.14;2
1981.0;5.0; app_2 done;3.03;2.52;2
2210.0;4.00697264616115; app_1 done;3.17;2.26;2
2323.0;3.349448986089885; app_2 done;3.01;2.58;2
2504.0;1.879995473012977;PF;2.8;2.4;0
4825.0;3.8606057566641985;On;1.45;1.24;2
4890.0;4.07940885310872; app_2 OFF;1.43;1.23;1
4890.0;4.07940885310872;VOn= 3.74;1.43;1.23;1
4890.0;4.07940885310872; app_1 done;1.64;1.23;1
5118.0;4.579917184295853; app_1 done;1.76;1.17;1
5346.0;4.905696583010542; app_1 done;1.87;1.12;1
5573.0;5.0; app_1 done;1.97;1.08;1
5801.0;5.0; app_1 done;2.07;1.03;1
6029.0;5.0; app_1 done;2.16;1.0;1
6257.0;4.848320539909276; app_1 done;2.24;0.96;1
6485.0;4.820299818905846; app_1 done;2.31;0.93;1
6713.0;4.289948438083201; app_1 done;2.38;0.89;1
6941.0;4.566390828616356; app_1 done;2.45;0.86;1
7168.0;4.2591861580679895; app_1 done;2.51;0.84;1
7396.0;4.407689038113874; app_1 done;2.57;0.81;1
7624.0;3.7858022486742593; app_2 ON;2.49;0.79;2
7624.0;3.7858022486742593;VOn= 3.86;2.49;0.79;2
7624.0;3.7858022486742593; app_1 done;2.62;0.79;2
7852.0;3.8155906763855825; app_1 done;2.67;0.76;2
7966.0;3.710553108404656; app_2 done;2.64;0.88;2
8194.0;3.525987283131317; app_1 done;2.68;0.85;2
8308.0;3.5438565474316897; app_2 done;2.65;0.96;2
8537.0;3.695925265093171; app_1 done;2.69;0.94;2
8650.0;3.8146786972014928; app_2 done;2.66;1.04;2
8879.0;4.051573449795313; app_1 done;2.7;1.01;2
