timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
172.0;1.8799954730728385;PF;0.0;0.0;0
6125.0;3.7411577879501916;On;0.0;0.0;1
6239.0;4.119004472635353; app_1 done;0.16;0.0;1
6467.0;4.766156797577366; app_1 done;0.31;0.0;1
6695.0;4.929372852497697; app_1 done;0.45;0.0;1
6923.0;4.313014347188883; app_1 done;0.58;0.0;1
7150.0;3.782171139615043; app_2 ON;0.56;0.0;2
7150.0;3.782171139615043;VOn= 3.86;0.56;0.0;2
7150.0;3.782171139615043; app_1 done;0.7;0.0;2
7378.0;2.144098634595328; app_1 done;0.81;0.0;2
7606.0;2.413336076874828; app_1 done;0.92;0.0;2
7719.0;2.8619403369126766; app_2 done;0.91;0.13;2
7947.0;4.0581880552291025; app_1 done;1.01;0.13;2
8175.0;5.0; app_1 done;1.1;0.12;2
8289.0;5.0; app_2 done;1.09;0.24;2
8518.0;4.860795275355008; app_1 done;1.17;0.23;2
8746.0;3.7332164653076068; app_1 done;1.26;0.23;2
8859.0;3.4898943006790333; app_2 done;1.24;0.34;2
9088.0;4.127939339134301; app_1 done;1.32;0.33;2
9316.0;4.828798602514722; app_1 done;1.4;0.32;2
9429.0;4.613757469010649; app_2 done;1.38;0.42;2
9658.0;3.3988847519695065; app_1 done;1.45;0.41;2
9847.0;1.8799933521215908;PF;1.42;0.41;0
13575.0;3.8611135569316097;On;1.03;0.29;2
13624.0;4.15857809439617; app_1 done;1.1;0.29;2
13852.0;5.0; app_1 done;1.16;0.29;2
14081.0;5.0; app_1 done;1.21;0.28;2
14309.0;5.0; app_1 done;1.26;0.28;2
14538.0;5.0; app_1 done;1.31;0.28;2
14652.0;5.0; app_2 done;1.3;0.34;2
14881.0;5.0; app_1 done;1.34;0.34;2
15108.0;5.0; app_1 done;1.39;0.33;2
15222.0;5.0; app_2 done;1.38;0.39;2
15451.0;5.0; app_1 done;1.42;0.39;2
15679.0;4.244619356777144; app_1 done;1.47;0.38;2
15793.0;3.6302432183369313; app_2 done;1.46;0.44;2
16019.0;1.8799914765653278;PF;1.44;0.44;0
20864.0;3.861194798474693;On;1.1;0.34;2
20897.0;3.926611226598739; app_1 done;1.15;0.33;2
21125.0;3.6332113182093324; app_1 done;1.18;0.33;2
21353.0;3.7854933095112653; app_1 done;1.22;0.33;2
21581.0;4.01396750685284; app_1 done;1.25;0.32;2
21810.0;4.866773905880387; app_1 done;1.28;0.32;2
21923.0;5.0; app_2 done;1.28;0.36;2
22152.0;5.0; app_1 done;1.31;0.36;2
22380.0;5.0; app_1 done;1.34;0.36;2
22494.0;5.0; app_2 done;1.33;0.4;2
22723.0;5.0; app_1 done;1.36;0.4;2
22951.0;5.0; app_1 done;1.39;0.39;2
23065.0;5.0; app_2 done;1.39;0.43;2
23294.0;5.0; app_1 done;1.42;0.43;2
23522.0;4.686181587634742; app_1 done;1.45;0.43;2
23636.0;4.137894417772461; app_2 done;1.44;0.47;2
23864.0;2.7185728420764788; app_1 done;1.47;0.46;2
23955.0;1.879995473012977;PF;1.46;0.46;0
31386.0;3.861144662628764;On;1.12;0.35;2
31535.0;4.386897458262451; app_1 done;1.14;0.35;2
31763.0;4.833256484552656; app_1 done;1.16;0.35;2
31991.0;4.881308288762479; app_1 done;1.19;0.34;2
32220.0;4.016608882957149; app_1 done;1.21;0.34;2
32448.0;3.1297898470560566; app_1 done;1.23;0.34;2
32562.0;2.2277766364939775; app_2 done;1.23;0.37;2
32790.0;2.3890001318073395; app_1 done;1.25;0.37;2
33018.0;3.3652984614615606; app_1 done;1.27;0.36;2
33131.0;4.009163000795819; app_2 done;1.27;0.39;2
33360.0;5.0; app_1 done;1.29;0.39;2
33588.0;5.0; app_1 done;1.31;0.39;2
33702.0;4.8958917717648465; app_2 done;1.31;0.42;2
33931.0;3.772296956203742; app_1 done;1.33;0.41;2
34158.0;3.69343570405711; app_1 done;1.35;0.41;2
34272.0;4.095130185812186; app_2 done;1.34;0.44;2
34501.0;4.822789235880657; app_1 done;1.36;0.43;2
34729.0;4.088810952349655; app_1 done;1.38;0.43;2
34843.0;3.4469524781990555; app_2 done;1.38;0.46;2
35039.0;1.8799933521215908;PF;1.37;0.46;0
38767.0;3.8611135569316097;On;1.24;0.41;2
38816.0;4.15857809439617; app_1 done;1.26;0.41;2
39044.0;5.0; app_1 done;1.28;0.41;2
39273.0;5.0; app_1 done;1.3;0.41;2
39501.0;5.0; app_1 done;1.32;0.41;2
39730.0;5.0; app_1 done;1.33;0.4;2
39844.0;5.0; app_2 done;1.33;0.43;2
40073.0;5.0; app_1 done;1.35;0.42;2
40301.0;5.0; app_1 done;1.36;0.42;2
40415.0;5.0; app_2 done;1.36;0.45;2
40644.0;5.0; app_1 done;1.38;0.44;2
40872.0;4.241971876241111; app_1 done;1.39;0.44;2
