timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
268.0;4.709106542899407; app_1 done;3.73;0.0;1
496.0;5.0; app_1 done;4.03;0.0;1
724.0;5.0; app_1 done;4.14;0.0;1
951.0;5.0; app_1 done;4.21;0.0;1
1179.0;5.0; app_1 done;4.24;0.0;1
1407.0;5.0; app_1 done;4.26;0.0;1
1635.0;5.0; app_2 ON;3.67;0.0;2
1635.0;5.0;VOn= 3.86;3.67;0.0;2
1635.0;5.0; app_1 done;4.28;0.0;2
1864.0;5.0; app_1 done;4.29;0.0;2
2092.0;4.590132802966272; app_1 done;4.3;0.0;2
2320.0;3.373444479957703; app_1 done;4.31;0.0;2
2504.0;1.879995473012977;PF;3.99;0.0;0
4825.0;3.8606057566641985;On;2.07;0.0;2
4874.0;4.0307973303755205; app_1 done;2.26;0.0;2
5101.0;4.55293859651292; app_1 done;2.35;0.0;2
5329.0;4.883395682699347; app_1 done;2.44;0.0;2
5557.0;5.0; app_1 done;2.52;0.0;2
5785.0;5.0; app_2 OFF;2.42;0.0;1
5785.0;5.0;VOn= 3.74;2.42;0.0;1
5785.0;5.0; app_1 done;2.59;0.0;1
6013.0;5.0; app_1 done;2.66;0.0;1
6241.0;4.896928868771865; app_1 done;2.72;0.0;1
6469.0;4.8397125629735935; app_1 done;2.78;0.0;1
6697.0;4.299087050700908; app_1 done;2.84;0.0;1
6924.0;4.542653975653794; app_1 done;2.89;0.0;1
7152.0;4.278178453833776; app_1 done;2.94;0.0;1
7380.0;4.417281742322348; app_2 ON;2.85;0.0;2
7380.0;4.417281742322348;VOn= 3.86;2.85;0.0;2
7380.0;4.417281742322348; app_1 done;2.98;0.0;2
7608.0;3.809013085389638; app_1 done;3.02;0.0;2
7836.0;3.8162861194640705; app_1 done;3.06;0.0;2
8064.0;3.557111812762082; app_1 done;3.1;0.0;2
8291.0;3.53895740339975; app_1 done;3.14;0.0;2
8519.0;3.6778328734152286; app_1 done;3.17;0.0;2
8746.0;3.9173938558058357; app_1 done;3.2;0.0;2
8974.0;4.159598218511366; app_1 done;3.23;0.0;2
9087.0;4.2611842499752735; app_2 done;3.19;0.11;2
9316.0;3.8010880106798917; app_1 done;3.22;0.11;2
9544.0;3.47043477349291; app_1 done;3.25;0.1;2
9772.0;3.2410519216768576; app_1 done;3.27;0.1;2
10001.0;3.4265793263329147; app_1 done;3.3;0.1;2
10229.0;3.795138898331588; app_1 done;3.32;0.1;2
10457.0;4.122218208104979; app_1 done;3.35;0.1;2
10686.0;4.455610047499118; app_1 done;3.37;0.09;2
10800.0;4.505044795618918; app_2 done;3.33;0.19;2
11029.0;4.406418984909002; app_1 done;3.35;0.18;2
11256.0;4.853414943741653; app_1 done;3.38;0.18;2
11485.0;5.0; app_1 done;3.4;0.17;2
11714.0;5.0; app_1 done;3.41;0.17;2
11942.0;4.789101726471904; app_1 done;3.43;0.17;2
12171.0;5.0; app_1 done;3.45;0.16;2
12400.0;5.0; app_1 done;3.47;0.16;2
12513.0;5.0; app_2 done;3.44;0.24;2
12743.0;5.0; app_1 done;3.45;0.24;2
12971.0;5.0; app_1 done;3.47;0.23;2
13199.0;5.0; app_1 done;3.49;0.23;2
13428.0;5.0; app_1 done;3.5;0.22;2
13657.0;5.0; app_1 done;3.51;0.22;2
13885.0;5.0; app_1 done;3.53;0.22;2
14114.0;5.0; app_1 done;3.54;0.21;2
14228.0;5.0; app_2 done;3.51;0.28;2
14457.0;4.687139489677184; app_1 done;3.53;0.28;2
14685.0;4.638647634791034; app_1 done;3.54;0.27;2
14913.0;4.903946368852597; app_1 done;3.55;0.27;2
15142.0;5.0; app_1 done;3.57;0.26;2
15370.0;5.0; app_1 done;3.58;0.26;2
15599.0;5.0; app_1 done;3.59;0.26;2
15828.0;5.0; app_1 done;3.6;0.25;2
15942.0;5.0; app_2 done;3.58;0.31;2
16171.0;5.0; app_1 done;3.59;0.31;2
16399.0;5.0; app_1 done;3.6;0.3;2
16627.0;5.0; app_1 done;3.61;0.3;2
16856.0;5.0; app_1 done;3.62;0.3;2
17085.0;5.0; app_1 done;3.63;0.29;2
17313.0;5.0; app_1 done;3.64;0.29;2
17542.0;5.0; app_1 done;3.65;0.29;2
17656.0;5.0; app_2 done;3.62;0.34;2
17885.0;5.0; app_1 done;3.63;0.34;2
18113.0;5.0; app_1 done;3.64;0.33;2
18342.0;5.0; app_1 done;3.65;0.33;2
18570.0;5.0; app_1 done;3.66;0.32;2
18799.0;5.0; app_1 done;3.67;0.32;2
19028.0;5.0; app_1 done;3.68;0.32;2
19256.0;5.0; app_1 done;3.69;0.31;2
19370.0;5.0; app_2 done;3.67;0.36;2
19599.0;5.0; app_1 done;3.67;0.36;2
19827.0;5.0; app_1 done;3.68;0.35;2
20056.0;4.084570994661664; app_1 done;3.69;0.35;2
20284.0;2.6403209423224654; app_1 done;3.7;0.35;2
20365.0;1.879988964933425;PF;3.68;0.34;0
25387.0;3.8618831489160743;On;2.95;0.28;2
25618.0;4.558331372893205; app_1 done;2.97;0.27;2
25846.0;4.838843885336731; app_1 done;2.98;0.27;2
