timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
270.0;4.717215093163602; app_1 done;3.7;0.0;1
500.0;5.0; app_1 done;4.0;0.0;1
730.0;5.0; app_2 ON;2.74;0.0;2
730.0;5.0;VOn= 3.86;2.74;0.0;2
730.0;5.0; app_1 done;4.11;0.0;2
961.0;5.0; app_1 done;4.16;0.0;2
1191.0;5.0; app_1 done;4.2;0.0;2
1421.0;5.0; app_1 done;4.22;0.0;2
1536.0;5.0; app_2 done;3.91;0.65;2
1651.0;5.0; app_2 done;3.63;1.21;2
1905.0;5.0; app_1 done;3.67;1.05;2
2135.0;5.0; app_1 done;3.75;0.94;2
2365.0;5.0; app_1 done;3.81;0.85;2
2595.0;5.0; app_1 done;3.85;0.77;2
2687.0;5.0; app_2 done;3.72;1.12;2
2802.0;5.0; app_2 done;3.57;1.43;2
3079.0;5.0; app_1 done;3.57;1.3;2
3309.0;5.0; app_1 done;3.63;1.21;2
3539.0;5.0; app_1 done;3.67;1.13;2
3769.0;5.0; app_1 done;3.71;1.06;2
3862.0;5.0; app_2 done;3.63;1.29;2
3976.0;5.0; app_2 done;3.52;1.51;2
4253.0;5.0; app_1 done;3.53;1.41;2
4483.0;5.0; app_1 done;3.57;1.34;2
4714.0;5.0; app_1 done;3.61;1.27;2
4944.0;5.0; app_1 done;3.64;1.21;2
5036.0;5.0; app_2 done;3.57;1.39;2
5151.0;5.0; app_2 done;3.49;1.55;2
5428.0;5.0; app_1 done;3.5;1.47;2
5658.0;5.0; app_1 done;3.53;1.41;2
5888.0;5.0; app_1 done;3.57;1.36;2
6118.0;5.0; app_1 done;3.6;1.31;2
6210.0;4.975218260857566; app_2 done;3.54;1.45;2
6325.0;4.787928673369894; app_2 done;3.48;1.58;2
6601.0;4.596449940450124; app_1 done;3.48;1.51;2
6831.0;4.408879081222695; app_1 done;3.51;1.46;2
7061.0;4.57850641208351; app_1 done;3.54;1.42;2
7291.0;4.359368353448618; app_1 done;3.57;1.37;2
7384.0;4.419293224882998; app_2 done;3.52;1.49;2
7498.0;4.097933674396628; app_2 done;3.47;1.6;2
7775.0;3.7745849406913097; app_1 done;3.47;1.54;2
8005.0;3.654276645253213; app_1 done;3.5;1.5;2
8234.0;3.542010338218554; app_1 done;3.52;1.46;2
8464.0;3.629652720664213; app_1 done;3.54;1.42;2
8556.0;3.7181123509759852; app_2 done;3.51;1.52;2
8671.0;3.83558720579475; app_2 done;3.46;1.61;2
8948.0;4.129666709418048; app_1 done;3.46;1.56;2
9178.0;4.269376082313086; app_1 done;3.49;1.53;2
9407.0;3.6232673710806655; app_1 done;3.51;1.49;2
9637.0;3.2688977100571224; app_1 done;3.53;1.45;2
9730.0;3.2227526380538967; app_2 done;3.49;1.54;2
9844.0;3.2758413644297937; app_2 done;3.45;1.63;2
10121.0;3.605903020467082; app_1 done;3.46;1.58;2
10350.0;3.965162273697308; app_1 done;3.48;1.55;2
10580.0;4.289380102964634; app_1 done;3.5;1.51;2
10811.0;4.511162496636403; app_1 done;3.51;1.48;2
10903.0;4.526337619876865; app_2 done;3.49;1.56;2
11017.0;4.3987605960752045; app_2 done;3.45;1.63;2
11294.0;4.948303351537922; app_1 done;3.45;1.59;2
11524.0;5.0; app_1 done;3.47;1.56;2
11755.0;5.0; app_1 done;3.49;1.53;2
11985.0;4.8355073762304475; app_1 done;3.5;1.5;2
12077.0;5.0; app_2 done;3.48;1.57;2
12192.0;5.0; app_2 done;3.44;1.64;2
12468.0;5.0; app_1 done;3.45;1.6;2
12699.0;5.0; app_1 done;3.46;1.57;2
12929.0;5.0; app_1 done;3.48;1.55;2
13159.0;5.0; app_1 done;3.5;1.52;2
13251.0;5.0; app_2 done;3.47;1.58;2
13366.0;5.0; app_2 done;3.44;1.65;2
13643.0;5.0; app_1 done;3.44;1.61;2
13873.0;5.0; app_1 done;3.46;1.59;2
14103.0;5.0; app_1 done;3.47;1.56;2
14334.0;5.0; app_1 done;3.49;1.53;2
14426.0;4.825041064754255; app_2 done;3.47;1.59;2
14540.0;4.4458631927838175; app_2 done;3.44;1.65;2
14817.0;4.773171179663648; app_1 done;3.44;1.62;2
15047.0;5.0; app_1 done;3.46;1.6;2
15278.0;5.0; app_1 done;3.47;1.57;2
15508.0;5.0; app_1 done;3.48;1.55;2
15600.0;5.0; app_2 done;3.46;1.6;2
15715.0;5.0; app_2 done;3.44;1.65;2
15992.0;5.0; app_1 done;3.44;1.63;2
16222.0;5.0; app_1 done;3.45;1.6;2
16452.0;5.0; app_1 done;3.46;1.58;2
16682.0;5.0; app_1 done;3.48;1.56;2
16775.0;5.0; app_2 done;3.46;1.61;2
16889.0;5.0; app_2 done;3.43;1.66;2
17166.0;5.0; app_1 done;3.44;1.63;2
17396.0;5.0; app_1 done;3.45;1.61;2
17627.0;5.0; app_1 done;3.46;1.59;2
17857.0;5.0; app_1 done;3.47;1.57;2
17949.0;5.0; app_2 done;3.45;1.62;2
18064.0;5.0; app_2 done;3.43;1.66;2
18341.0;5.0; app_1 done;3.43;1.64;2
18571.0;5.0; app_1 done;3.45;1.62;2
18801.0;5.0; app_1 done;3.46;1.6;2
19031.0;5.0; app_1 done;3.47;1.58;2
19124.0;5.0; app_2 done;3.45;1.62;2
19238.0;5.0; app_2 done;3.43;1.66;2
19515.0;5.0; app_1 done;3.43;1.64;2
19745.0;5.0; app_1 done;3.44;1.62;2
19975.0;4.483840607499866; app_1 done;3.45;1.6;2
20205.0;3.3964457400670742; app_1 done;3.46;1.58;2
20298.0;3.2455396427360106; app_2 done;3.45;1.63;2
20412.0;3.1107574794882624; app_2 done;3.43;1.67;2
20688.0;2.7737654669224368; app_1 done;3.43;1.64;2
20918.0;2.9691944402870663; app_1 done;3.44;1.63;2
21148.0;3.1114339210275497; app_1 done;3.45;1.61;2
21377.0;3.0923230218448055; app_1 done;3.46;1.59;2
21470.0;3.1099145116505857; app_2 done;3.45;1.63;2
21584.0;3.067691822407433; app_2 done;3.43;1.67;2
21861.0;2.9547898250233815; app_1 done;3.43;1.65;2
22090.0;2.895729056962112; app_1 done;3.44;1.63;2
22320.0;3.0247937404889047; app_1 done;3.45;1.61;2
22549.0;3.003157366177609; app_1 done;3.46;1.6;2
22642.0;2.937600624223988; app_2 done;3.44;1.63;2
22756.0;2.9044056603139072; app_2 done;3.43;1.67;2
23032.0;2.9920106153479162; app_1 done;3.43;1.65;2
23262.0;2.8684727778184773; app_1 done;3.44;1.63;2
23491.0;2.730606330139078; app_1 done;3.45;1.62;2
23720.0;2.8424991205833456; app_1 done;3.46;1.6;2
23813.0;2.8830886622868457; app_2 done;3.44;1.64;2
23927.0;2.900508406118555; app_2 done;3.43;1.67;2
24203.0;3.005015778276994; app_1 done;3.43;1.65;2
24433.0;3.239205443551276; app_1 done;3.44;1.64;2
24663.0;3.576577852450281; app_1 done;3.45;1.62;2
24893.0;4.133680842405631; app_1 done;3.45;1.61;2
24985.0;4.317354498980342; app_2 done;3.44;1.64;2
25100.0;4.452357091752049; app_2 done;3.43;1.67;2
25376.0;4.738579487647429; app_1 done;3.43;1.66;2
25606.0;5.0; app_1 done;3.44;1.64;2
25837.0;5.0; app_1 done;3.44;1.63;2
26067.0;5.0; app_1 done;3.45;1.61;2
26159.0;5.0; app_2 done;3.44;1.64;2
26274.0;5.0; app_2 done;3.43;1.67;2
26551.0;5.0; app_1 done;3.43;1.66;2
26781.0;5.0; app_1 done;3.44;1.64;2
27011.0;5.0; app_1 done;3.44;1.63;2
27241.0;5.0; app_1 done;3.45;1.62;2
27334.0;5.0; app_2 done;3.44;1.65;2
27448.0;5.0; app_2 done;3.42;1.68;2
27725.0;5.0; app_1 done;3.43;1.66;2
27955.0;5.0; app_1 done;3.43;1.65;2
28186.0;5.0; app_1 done;3.44;1.63;2
28416.0;5.0; app_1 done;3.45;1.62;2
28508.0;5.0; app_2 done;3.44;1.65;2
28623.0;5.0; app_2 done;3.42;1.68;2
28900.0;5.0; app_1 done;3.43;1.66;2
29130.0;5.0; app_1 done;3.43;1.65;2
29360.0;5.0; app_1 done;3.44;1.63;2
29590.0;5.0; app_1 done;3.45;1.62;2
29683.0;5.0; app_2 done;3.44;1.65;2
29797.0;5.0; app_2 done;3.42;1.68;2
30074.0;5.0; app_1 done;3.42;1.66;2
30304.0;5.0; app_1 done;3.43;1.65;2
30535.0;5.0; app_1 done;3.44;1.64;2
30765.0;5.0; app_1 done;3.45;1.63;2
30857.0;5.0; app_2 done;3.44;1.65;2
30972.0;5.0; app_2 done;3.42;1.68;2
31249.0;5.0; app_1 done;3.42;1.66;2
31479.0;5.0; app_1 done;3.43;1.65;2
31709.0;5.0; app_1 done;3.44;1.64;2
31939.0;4.433200863226557; app_1 done;3.44;1.63;2
32031.0;3.96567100115422; app_2 done;3.43;1.65;2
32146.0;3.2943655476687157; app_2 done;3.42;1.68;2
32422.0;2.8143220893736456; app_1 done;3.42;1.67;2
32652.0;2.967576787631906; app_1 done;3.43;1.65;2
32881.0;2.6780665585569783; app_1 done;3.44;1.64;2
33110.0;2.8018635232338007; app_1 done;3.44;1.63;2
33203.0;2.8836011968819775; app_2 done;3.43;1.66;2
33317.0;3.06003175869691; app_2 done;3.42;1.68;2
33594.0;4.123234866668944; app_1 done;3.42;1.67;2
33824.0;4.935362625512704; app_1 done;3.43;1.66;2
34054.0;5.0; app_1 done;3.44;1.64;2
34284.0;5.0; app_1 done;3.44;1.63;2
34376.0;5.0; app_2 done;3.43;1.66;2
34491.0;5.0; app_2 done;3.42;1.68;2
34768.0;5.0; app_1 done;3.42;1.67;2
34998.0;5.0; app_1 done;3.43;1.66;2
35228.0;5.0; app_1 done;3.43;1.65;2
35458.0;4.991665393859436; app_1 done;3.44;1.64;2
35551.0;4.8465272881279144; app_2 done;3.43;1.66;2
35665.0;4.853826109124055; app_2 done;3.42;1.68;2
35942.0;3.4685818778014905; app_1 done;3.42;1.67;2
36172.0;3.1619449861597957; app_1 done;3.43;1.66;2
36402.0;3.2996526430299857; app_1 done;3.43;1.65;2
36632.0;3.5874555777218493; app_1 done;3.44;1.64;2
36724.0;3.544467031963441; app_2 done;3.43;1.66;2
36838.0;3.555934004942569; app_2 done;3.42;1.68;2
37115.0;3.7022909169079132; app_1 done;3.42;1.67;2
37345.0;3.9639514284134156; app_1 done;3.43;1.66;2
37575.0;3.9624036810347074; app_1 done;3.43;1.65;2
37805.0;3.7206278914845554; app_1 done;3.44;1.64;2
37897.0;3.8104057639155977; app_2 done;3.43;1.66;2
38011.0;3.9155452370110293; app_2 done;3.42;1.68;2
38288.0;3.978741122143428; app_1 done;3.42;1.67;2
38518.0;3.8885812000073283; app_1 done;3.43;1.66;2
38748.0;4.011420586478939; app_1 done;3.43;1.65;2
38978.0;4.04795223763228; app_1 done;3.44;1.64;2
39070.0;3.9963122786172165; app_2 done;3.43;1.66;2
39185.0;4.036138237836179; app_2 done;3.42;1.68;2
