timestamp;voltage;event;tput_app_1;tput_app_2;tput_app_3;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;0.0;1
271.0;4.720986621349118; app_1 done;3.69;0.0;0.0;1
502.0;5.0; app_2 ON;1.99;0.0;0.0;2
502.0;5.0;VOn= 3.74;1.99;0.0;0.0;2
502.0;5.0; app_1 done;3.98;0.0;0.0;2
537.0;5.0; app_3 done;3.72;0.0;1.86;2
572.0;5.0; app_3 ON;3.5;0.0;1.75;3
572.0;5.0;VOn= 3.86;3.5;0.0;1.75;3
572.0;5.0; app_3 done;3.5;0.0;3.5;3
682.0;5.0; app_2 done;2.93;1.47;2.93;3
953.0;5.0; app_1 done;3.15;1.05;2.1;3
1184.0;5.0; app_1 done;3.38;0.84;1.69;3
1416.0;5.0; app_1 done;3.53;0.71;1.41;3
1432.0;5.0; app_3 done;3.49;0.7;2.09;3
1466.0;5.0; app_3 done;3.41;0.68;2.73;3
1559.0;5.0; app_2 done;3.21;1.28;2.57;3
1883.0;5.0; app_1 done;3.19;1.06;2.12;3
2115.0;5.0; app_1 done;3.31;0.95;1.89;3
2347.0;5.0; app_1 done;3.41;0.85;1.7;3
2363.0;5.0; app_3 done;3.39;0.85;2.12;3
2397.0;5.0; app_3 done;3.34;0.83;2.5;3
2489.0;5.0; app_2 done;3.21;1.21;2.41;3
2814.0;5.0; app_1 done;3.2;1.07;2.13;3
3045.0;5.0; app_1 done;3.28;0.99;1.97;3
3277.0;5.0; app_1 done;3.36;0.92;1.83;3
3294.0;5.0; app_3 done;3.34;0.91;2.13;3
3327.0;5.0; app_3 done;3.31;0.9;2.4;3
3420.0;5.0; app_2 done;3.22;1.17;2.34;3
3745.0;5.0; app_1 done;3.2;1.07;2.14;3
3976.0;5.0; app_1 done;3.27;1.01;2.01;3
4208.0;5.0; app_1 done;3.33;0.95;1.9;3
4225.0;5.0; app_3 done;3.31;0.95;2.13;3
4258.0;5.0; app_3 done;3.29;0.94;2.35;3
4351.0;5.0; app_2 done;3.22;1.15;2.3;3
4676.0;5.0; app_1 done;3.21;1.07;2.14;3
4907.0;5.0; app_1 done;3.26;1.02;2.04;3
5139.0;5.0; app_1 done;3.31;0.97;1.95;3
5156.0;5.0; app_3 done;3.3;0.97;2.13;3
5189.0;5.0; app_3 done;3.28;0.96;2.31;3
5282.0;5.0; app_2 done;3.22;1.14;2.27;3
5607.0;5.0; app_1 done;3.21;1.07;2.14;3
5838.0;5.0; app_1 done;3.25;1.03;2.06;3
6070.0;5.0; app_1 done;3.29;0.99;1.98;3
6086.0;5.0; app_3 done;3.29;0.99;2.14;3
6120.0;5.0; app_3 done;3.27;0.98;2.29;3
6212.0;4.966028095071692; app_2 done;3.22;1.13;2.25;3
6537.0;4.760432020241107; app_1 done;3.21;1.07;2.14;3
6768.0;4.330688920504396; app_1 done;3.25;1.03;2.07;3
7000.0;4.639679411755674; app_1 done;3.29;1.0;2.0;3
7016.0;4.65039647890173; app_3 done;3.28;1.0;2.14;3
7050.0;4.6186250856444095; app_3 done;3.26;0.99;2.27;3
7142.0;4.302756665468999; app_2 done;3.22;1.12;2.24;3
7467.0;4.199945381499563; app_1 done;3.21;1.07;2.14;3
7698.0;3.7144559074567205; app_1 done;3.25;1.04;2.08;3
7930.0;3.7867889413228935; app_1 done;3.28;1.01;2.02;3
7946.0;3.7463868897245214; app_3 done;3.27;1.01;2.14;3
7979.0;3.6835932812853986; app_3 done;3.26;1.0;2.26;3
8072.0;3.540128051642694; app_2 done;3.22;1.11;2.23;3
8396.0;3.5861487764749875; app_1 done;3.22;1.07;2.14;3
8627.0;3.7920917519957964; app_1 done;3.25;1.04;2.09;3
8859.0;4.033640522943534; app_1 done;3.27;1.02;2.03;3
8875.0;4.04879659989269; app_3 done;3.27;1.01;2.14;3
8909.0;4.083567003929539; app_3 done;3.26;1.01;2.24;3
9001.0;4.186760860048665; app_2 done;3.22;1.11;2.22;3
9326.0;3.771799679452094; app_1 done;3.22;1.07;2.14;3
9557.0;3.4542306983753504; app_1 done;3.24;1.05;2.09;3
9789.0;3.2486895273309604; app_1 done;3.27;1.02;2.04;3
9805.0;3.2564647462461873; app_3 done;3.26;1.02;2.14;3
9838.0;3.272457498572062; app_3 done;3.25;1.02;2.24;3
9931.0;3.3291901453627033; app_2 done;3.22;1.11;2.22;3
10255.0;3.855624200517309; app_1 done;3.22;1.07;2.15;3
10486.0;4.17459186493773; app_1 done;3.24;1.05;2.1;3
10718.0;4.4726478974705515; app_1 done;3.27;1.03;2.05;3
10735.0;4.47979746904908; app_3 done;3.26;1.02;2.14;3
10768.0;4.4921038895952154; app_3 done;3.25;1.02;2.23;3
10861.0;4.53903378463472; app_2 done;3.22;1.1;2.21;3
11186.0;4.691554073675162; app_1 done;3.22;1.07;2.15;3
11417.0;5.0; app_1 done;3.24;1.05;2.1;3
11649.0;5.0; app_1 done;3.26;1.03;2.06;3
11665.0;5.0; app_3 done;3.26;1.03;2.14;3
11699.0;5.0; app_3 done;3.25;1.03;2.22;3
11791.0;5.0; app_2 done;3.22;1.1;2.21;3
12116.0;5.0; app_1 done;3.22;1.07;2.15;3
12348.0;5.0; app_1 done;3.24;1.05;2.11;3
12580.0;5.0; app_1 done;3.26;1.03;2.07;3
12596.0;5.0; app_3 done;3.26;1.03;2.14;3
12629.0;5.0; app_3 done;3.25;1.03;2.22;3
12722.0;5.0; app_2 done;3.22;1.1;2.2;3
13047.0;5.0; app_1 done;3.22;1.07;2.15;3
13278.0;5.0; app_1 done;3.24;1.05;2.11;3
13511.0;5.0; app_1 done;3.26;1.04;2.07;3
