timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
270.0;4.717215093163602; app_1 done;3.7;0.0;1
500.0;5.0; app_1 done;4.0;0.0;1
730.0;5.0; app_1 done;4.11;0.0;1
960.0;5.0; app_1 done;4.17;0.0;1
1190.0;5.0; app_1 done;4.2;0.0;1
1421.0;5.0; app_1 done;4.22;0.0;1
1651.0;5.0; app_1 done;4.24;0.0;1
1881.0;5.0; app_1 done;4.25;0.0;1
2111.0;4.501243327046316; app_1 done;4.26;0.0;1
2341.0;3.2372762388430703; app_2 ON;3.84;0.0;2
2341.0;3.2372762388430703;VOn= 5.46;3.84;0.0;2
2341.0;3.2372762388430703; app_1 done;4.27;0.0;2
2504.0;1.879995473012977;PF;3.99;0.0;0
5839.0;5.0;On;1.71;0.0;2
5956.0;5.0; app_1 done;1.85;0.0;2
6186.0;5.0; app_2 OFF;1.78;0.0;1
6186.0;5.0;VOn= 3.74;1.78;0.0;1
6186.0;5.0; app_1 done;1.94;0.0;1
6416.0;4.827296368071146; app_1 done;2.03;0.0;1
6646.0;4.446636249759077; app_1 done;2.11;0.0;1
6876.0;4.47388760017662; app_1 done;2.18;0.0;1
7106.0;4.420158663050426; app_1 done;2.25;0.0;1
7336.0;4.401863143483701; app_1 done;2.32;0.0;1
7566.0;3.9216555189334232; app_1 done;2.38;0.0;1
7796.0;3.792139638055384; app_1 done;2.44;0.0;1
8026.0;3.6351791379288287; app_1 done;2.49;0.0;1
8255.0;3.548474879693378; app_1 done;2.54;0.0;1
8485.0;3.6461563025026233; app_1 done;2.59;0.0;1
8715.0;3.881417700571845; app_1 done;2.64;0.0;1
8945.0;4.12686762595278; app_1 done;2.68;0.0;1
9175.0;4.268990457940401; app_1 done;2.72;0.0;1
9405.0;3.634711168524102; app_1 done;2.76;0.0;1
9635.0;3.268491076747685; app_1 done;2.8;0.0;1
9864.0;3.286990309232186; app_1 done;2.84;0.0;1
10094.0;3.542398135445068; app_1 done;2.87;0.0;1
10324.0;3.9416936436189824; app_1 done;2.91;0.0;1
10554.0;4.252343550944698; app_1 done;2.94;0.0;1
10784.0;4.497672303058048; app_1 done;2.97;0.0;1
11014.0;4.396314061790136; app_1 done;3.0;0.0;1
11244.0;4.822261716081817; app_2 ON;2.93;0.0;2
11244.0;4.822261716081817;VOn= 5.46;2.93;0.0;2
11244.0;4.822261716081817; app_1 done;3.02;0.0;2
11475.0;5.0; app_1 done;3.05;0.0;2
11705.0;5.0; app_1 done;3.08;0.0;2
11935.0;4.78538776817212; app_1 done;3.1;0.0;2
12166.0;5.0; app_1 done;3.12;0.0;2
12396.0;5.0; app_1 done;3.15;0.0;2
12626.0;5.0; app_1 done;3.17;0.0;2
12856.0;5.0; app_1 done;3.19;0.0;2
13086.0;5.0; app_1 done;3.21;0.0;2
13317.0;5.0; app_1 done;3.23;0.0;2
13547.0;5.0; app_1 done;3.25;0.0;2
13871.0;5.0; app_2 done;3.17;0.07;2
14196.0;5.0; app_2 done;3.1;0.14;2
14521.0;4.4349044305521765; app_2 done;3.03;0.21;2
14845.0;4.805304500230095; app_2 done;2.96;0.27;2
15170.0;5.0; app_2 done;2.9;0.33;2
15560.0;5.0; app_1 done;2.89;0.32;2
15791.0;5.0; app_2 OFF;2.85;0.32;1
15791.0;5.0;VOn= 3.74;2.85;0.32;1
15791.0;5.0; app_1 done;2.91;0.32;1
16021.0;5.0; app_1 done;2.93;0.31;1
16251.0;5.0; app_1 done;2.95;0.31;1
16481.0;5.0; app_1 done;2.97;0.3;1
16711.0;5.0; app_1 done;2.99;0.3;1
16942.0;5.0; app_1 done;3.01;0.3;1
17172.0;5.0; app_1 done;3.03;0.29;1
17402.0;5.0; app_1 done;3.05;0.29;1
17632.0;5.0; app_1 done;3.06;0.28;1
17862.0;5.0; app_1 done;3.08;0.28;1
18093.0;5.0; app_1 done;3.1;0.28;1
18323.0;5.0; app_1 done;3.11;0.27;1
18553.0;5.0; app_1 done;3.13;0.27;1
18783.0;5.0; app_1 done;3.14;0.27;1
19013.0;5.0; app_2 ON;3.1;0.26;2
19013.0;5.0;VOn= 5.46;3.1;0.26;2
19013.0;5.0; app_1 done;3.16;0.26;2
19244.0;5.0; app_1 done;3.17;0.26;2
19475.0;5.0; app_1 done;3.18;0.26;2
19705.0;5.0; app_1 done;3.2;0.25;2
19935.0;4.671978144745986; app_1 done;3.21;0.25;2
20165.0;3.507168933960099; app_1 done;3.22;0.25;2
20395.0;3.138885876695222; app_1 done;3.24;0.25;2
20624.0;2.768442171875832; app_1 done;3.25;0.24;2
20854.0;2.903598549703377; app_1 done;3.26;0.24;2
21083.0;3.1255152763629708; app_1 done;3.27;0.24;2
21313.0;3.071292592244425; app_1 done;3.28;0.23;2
21638.0;3.0665012092384094; app_2 done;3.24;0.28;2
21962.0;2.8462710421605855; app_2 done;3.19;0.32;2
22287.0;3.0078327467615886; app_2 done;3.14;0.36;2
22611.0;2.9618147504627155; app_2 done;3.1;0.4;2
22936.0;2.9519767891663635; app_2 done;3.05;0.44;2
23348.0;2.749385299968545; app_1 done;3.04;0.43;2
23577.0;2.769025986288159; app_2 OFF;3.01;0.42;1
23577.0;2.769025986288159;VOn= 3.74;3.01;0.42;1
23577.0;2.769025986288159; app_1 done;3.05;0.42;1
23806.0;2.8799826728313422; app_1 done;3.07;0.42;1
24036.0;2.917213367023117; app_1 done;3.08;0.42;1
24266.0;3.059797483551571; app_1 done;3.09;0.41;1
24495.0;3.308734705654849; app_1 done;3.1;0.41;1
24725.0;3.7200104740038364; app_1 done;3.11;0.4;1
24955.0;4.264253879115934; app_1 done;3.13;0.4;1
25185.0;4.496545101251842; app_1 done;3.14;0.4;1
25415.0;4.8218541246406375; app_1 done;3.15;0.39;1
25645.0;5.0; app_1 done;3.16;0.39;1
25876.0;5.0; app_1 done;3.17;0.39;1
26106.0;5.0; app_1 done;3.18;0.38;1
26336.0;5.0; app_1 done;3.19;0.38;1
26566.0;5.0; app_1 done;3.2;0.38;1
26796.0;5.0; app_2 ON;3.17;0.37;2
26796.0;5.0;VOn= 5.46;3.17;0.37;2
26796.0;5.0; app_1 done;3.21;0.37;2
27028.0;5.0; app_1 done;3.22;0.37;2
27258.0;5.0; app_1 done;3.23;0.37;2
27488.0;5.0; app_1 done;3.24;0.36;2
27718.0;5.0; app_1 done;3.25;0.36;2
27948.0;5.0; app_1 done;3.26;0.36;2
28179.0;5.0; app_1 done;3.26;0.35;2
28409.0;5.0; app_1 done;3.27;0.35;2
28639.0;5.0; app_1 done;3.28;0.35;2
28869.0;5.0; app_1 done;3.29;0.35;2
29099.0;5.0; app_1 done;3.3;0.34;2
29424.0;5.0; app_2 done;3.26;0.37;2
29749.0;5.0; app_2 done;3.23;0.4;2
30073.0;5.0; app_2 done;3.19;0.43;2
30398.0;5.0; app_2 done;3.16;0.46;2
30723.0;5.0; app_2 done;3.12;0.49;2
31136.0;5.0; app_1 done;3.12;0.48;2
31366.0;5.0; app_2 OFF;3.09;0.48;1
31366.0;5.0;VOn= 3.74;3.09;0.48;1
31366.0;5.0; app_1 done;3.12;0.48;1
31596.0;5.0; app_1 done;3.13;0.47;1
31826.0;4.9446848425016485; app_1 done;3.14;0.47;1
32057.0;3.8289704326994984; app_1 done;3.15;0.47;1
32286.0;2.8300885037665395; app_1 done;3.16;0.46;1
32516.0;2.889582043771089; app_1 done;3.17;0.46;1
32745.0;2.7743341422877057; app_1 done;3.18;0.46;1
32974.0;2.7182509234006123; app_1 done;3.18;0.45;1
33204.0;2.8849975161344568; app_1 done;3.19;0.45;1
33434.0;3.376118084149267; app_1 done;3.2;0.45;1
33664.0;4.424993998117392; app_1 done;3.21;0.45;1
33894.0;5.0; app_1 done;3.22;0.44;1
34124.0;5.0; app_1 done;3.22;0.44;1
34354.0;5.0; app_1 done;3.23;0.44;1
34584.0;5.0; app_2 ON;3.21;0.43;2
34584.0;5.0;VOn= 5.46;3.21;0.43;2
34584.0;5.0; app_1 done;3.24;0.43;2
34815.0;5.0; app_1 done;3.25;0.43;2
35046.0;5.0; app_1 done;3.25;0.43;2
35276.0;5.0; app_1 done;3.26;0.43;2
35506.0;4.917426315537804; app_1 done;3.27;0.42;2
35736.0;4.560150780046951; app_1 done;3.27;0.42;2
35966.0;3.3247107041932007; app_1 done;3.28;0.42;2
36196.0;3.1555243938238364; app_1 done;3.29;0.41;2
36426.0;3.336355337487732; app_1 done;3.29;0.41;2
36656.0;3.6039961495325774; app_1 done;3.3;0.41;2
36885.0;3.5726441360257146; app_1 done;3.31;0.41;2
37210.0;3.810897779826751; app_2 done;3.28;0.43;2
37534.0;4.035659155502911; app_2 done;3.25;0.45;2
37859.0;3.771971865774873; app_2 done;3.22;0.48;2
38184.0;4.023784622688557; app_2 done;3.2;0.5;2
38508.0;3.8818109794111813; app_2 done;3.17;0.52;2
38921.0;4.083219841644677; app_1 done;3.16;0.51;2
39151.0;4.021381560678198; app_2 OFF;3.14;0.51;1
39151.0;4.021381560678198;VOn= 3.74;3.14;0.51;1
39151.0;4.021381560678198; app_1 done;3.17;0.51;1
39381.0;4.1098317555419595; app_1 done;3.17;0.51;1
39611.0;3.9986326609397564; app_1 done;3.18;0.5;1
39841.0;4.201982445707097; app_1 done;3.19;0.5;1
40071.0;4.573957293035943; app_1 done;3.19;0.5;1
40301.0;5.0; app_1 done;3.2;0.5;1
40531.0;5.0; app_1 done;3.21;0.49;1
40761.0;5.0; app_1 done;3.21;0.49;1
40992.0;5.0; app_1 done;3.22;0.49;1
41222.0;5.0; app_1 done;3.23;0.49;1
41452.0;5.0; app_1 done;3.23;0.48;1
41682.0;5.0; app_1 done;3.24;0.48;1
41912.0;5.0; app_1 done;3.24;0.48;1
42143.0;5.0; app_1 done;3.25;0.47;1
42373.0;5.0; app_2 ON;3.23;0.47;2
42373.0;5.0;VOn= 5.46;3.23;0.47;2
42373.0;5.0; app_1 done;3.26;0.47;2
42604.0;5.0; app_1 done;3.26;0.47;2
42834.0;5.0; app_1 done;3.27;0.47;2
43064.0;5.0; app_1 done;3.27;0.46;2
43294.0;5.0; app_1 done;3.28;0.46;2
43525.0;5.0; app_1 done;3.29;0.46;2
43755.0;5.0; app_1 done;3.29;0.46;2
43985.0;5.0; app_1 done;3.3;0.45;2
44215.0;5.0; app_1 done;3.3;0.45;2
44445.0;5.0; app_1 done;3.31;0.45;2
44676.0;5.0; app_1 done;3.31;0.45;2
45000.0;5.0; app_2 done;3.29;0.47;2
45325.0;5.0; app_2 done;3.27;0.49;2
45650.0;5.0; app_2 done;3.24;0.5;2
45974.0;5.0; app_2 done;3.22;0.52;2
46299.0;5.0; app_2 done;3.2;0.54;2
46712.0;5.0; app_1 done;3.19;0.54;2
46942.0;5.0; app_2 OFF;3.17;0.53;1
46942.0;5.0;VOn= 3.74;3.17;0.53;1
46942.0;5.0; app_1 done;3.2;0.53;1
47173.0;5.0; app_1 done;3.2;0.53;1
