timestamp;voltage;event;tput_app_1;tput_app_2;tput_app_3;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;0.0;1
271.0;4.721000848504021; app_1 done;3.69;0.0;0.0;1
502.0;5.0; app_1 done;3.98;0.0;0.0;1
733.0;5.0; app_1 done;4.09;0.0;0.0;1
964.0;5.0; app_2 ON;3.11;0.0;0.0;2
964.0;5.0;VOn= 3.74;3.11;0.0;0.0;2
964.0;5.0; app_1 done;4.15;0.0;0.0;2
999.0;5.0; app_2 done;4.0;1.0;0.0;2
1232.0;5.0; app_1 done;4.06;0.81;0.0;2
1463.0;5.0; app_1 done;4.1;0.68;0.0;2
1694.0;5.0; app_1 done;4.13;0.59;0.0;2
1927.0;5.0; app_1 done;4.15;0.52;0.0;2
1960.0;5.0; app_2 done;4.08;1.02;0.0;2
2193.0;4.097066932168611; app_1 done;4.1;0.91;0.0;2
2423.0;2.639068178519136; app_1 done;4.13;0.83;0.0;2
2504.0;1.879995473012977;PF;3.99;0.8;0.0;0
4773.0;3.741200754113261;On;2.1;0.42;0.0;2
5006.0;4.448966761541592; app_1 done;2.2;0.4;0.0;2
5239.0;4.809780019493925; app_1 done;2.29;0.38;0.0;2
5472.0;5.0; app_1 done;2.38;0.37;0.0;2
5705.0;5.0; app_1 done;2.45;0.35;0.0;2
5937.0;5.0; app_1 done;2.53;0.34;0.0;2
6170.0;5.0; app_1 done;2.59;0.32;0.0;2
6204.0;4.9855244603672535; app_2 done;2.58;0.48;0.0;2
6436.0;4.836987494483883; app_1 done;2.64;0.47;0.0;2
6667.0;4.372889820503722; app_1 done;2.7;0.45;0.0;2
6898.0;4.50505179584746; app_1 done;2.75;0.43;0.0;2
7131.0;4.3358795491001185; app_1 done;2.8;0.42;0.0;2
7164.0;4.268497621991168; app_2 done;2.79;0.56;0.0;2
7396.0;4.407664975380267; app_1 done;2.84;0.54;0.0;2
7627.0;3.783826915423094; app_1 done;2.88;0.52;0.0;2
7858.0;3.8053834082569002; app_1 done;2.93;0.51;0.0;2
8090.0;3.5007750853021014; app_1 done;2.97;0.49;0.0;2
8124.0;3.50210419850736; app_2 done;2.95;0.62;0.0;2
8356.0;3.5635708382977715; app_1 done;2.99;0.6;0.0;2
8586.0;3.7510853606631644; app_1 done;3.03;0.58;0.0;2
8817.0;3.9946125135545945; app_1 done;3.06;0.57;0.0;2
9050.0;4.2295340096243175; app_1 done;3.09;0.55;0.0;2
9083.0;4.2572497367368625; app_2 done;3.08;0.66;0.0;2
9315.0;3.805328551397873; app_1 done;3.11;0.64;0.0;2
9546.0;3.467145231212314; app_1 done;3.14;0.63;0.0;2
9777.0;3.24368077492591; app_1 done;3.17;0.61;0.0;2
10010.0;3.43724155497748; app_1 done;3.2;0.6;0.0;2
10043.0;3.4672830454543453; app_3 ON;3.19;0.6;0.0;3
10043.0;3.4672830454543453;VOn= 3.86;3.19;0.6;0.0;3
10043.0;3.4672830454543453; app_2 done;3.19;0.7;0.0;3
10153.0;3.669213765542868; app_3 done;3.15;0.69;0.1;3
10387.0;4.001816459336542; app_1 done;3.18;0.67;0.1;3
10618.0;4.35454556310631; app_1 done;3.2;0.66;0.09;3
10851.0;4.535458016115363; app_1 done;3.23;0.65;0.09;3
11084.0;4.477671018860848; app_1 done;3.25;0.63;0.09;3
11117.0;4.548103407994569; app_2 done;3.24;0.72;0.09;3
11350.0;5.0; app_1 done;3.26;0.7;0.09;3
11581.0;5.0; app_1 done;3.28;0.69;0.09;3
11812.0;5.0; app_1 done;3.3;0.68;0.08;3
12046.0;4.9466320381476105; app_1 done;3.32;0.66;0.08;3
12080.0;5.0; app_2 done;3.31;0.75;0.08;3
12313.0;5.0; app_1 done;3.33;0.73;0.08;3
12545.0;5.0; app_1 done;3.35;0.72;0.08;3
12777.0;5.0; app_1 done;3.37;0.7;0.08;3
13011.0;5.0; app_1 done;3.38;0.69;0.08;3
13045.0;5.0; app_2 done;3.37;0.77;0.08;3
13278.0;5.0; app_1 done;3.39;0.75;0.08;3
13510.0;5.0; app_1 done;3.4;0.74;0.07;3
13743.0;5.0; app_1 done;3.42;0.73;0.07;3
13976.0;5.0; app_1 done;3.43;0.72;0.07;3
14010.0;5.0; app_2 done;3.43;0.79;0.07;3
14244.0;5.0; app_1 done;3.44;0.77;0.07;3
14476.0;4.600948098401881; app_1 done;3.45;0.76;0.07;3
14707.0;4.656951394373689; app_1 done;3.47;0.75;0.07;3
14941.0;4.937486099527758; app_1 done;3.48;0.74;0.07;3
14975.0;4.9778320372069995; app_2 done;3.47;0.8;0.07;3
15085.0;5.0; app_3 done;3.45;0.8;0.13;3
15320.0;5.0; app_1 done;3.46;0.78;0.13;3
15551.0;5.0; app_1 done;3.47;0.77;0.13;3
15784.0;5.0; app_1 done;3.48;0.76;0.13;3
16017.0;5.0; app_1 done;3.5;0.75;0.12;3
16050.0;5.0; app_2 done;3.49;0.81;0.12;3
16283.0;5.0; app_1 done;3.5;0.8;0.12;3
16514.0;5.0; app_1 done;3.51;0.79;0.12;3
16745.0;5.0; app_1 done;3.52;0.78;0.12;3
16979.0;5.0; app_1 done;3.53;0.77;0.12;3
17013.0;5.0; app_2 done;3.53;0.82;0.12;3
17246.0;5.0; app_1 done;3.54;0.81;0.12;3
17478.0;5.0; app_1 done;3.55;0.8;0.11;3
17711.0;5.0; app_1 done;3.56;0.79;0.11;3
17944.0;5.0; app_1 done;3.57;0.78;0.11;3
17978.0;5.0; app_2 done;3.56;0.83;0.11;3
18212.0;5.0; app_1 done;3.57;0.82;0.11;3
18444.0;5.0; app_1 done;3.58;0.81;0.11;3
18676.0;5.0; app_1 done;3.59;0.8;0.11;3
18910.0;5.0; app_1 done;3.6;0.79;0.11;3
18943.0;5.0; app_2 done;3.59;0.84;0.11;3
19177.0;5.0; app_1 done;3.6;0.83;0.1;3
19409.0;5.0; app_1 done;3.61;0.82;0.1;3
19641.0;5.0; app_1 done;3.61;0.81;0.1;3
19875.0;4.930191988934172; app_1 done;3.62;0.81;0.1;3
19908.0;4.792389467299257; app_2 done;3.62;0.85;0.1;3
