timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
172.0;1.8799954730728385;PF;0.0;0.0;0
6125.0;3.7411577879501916;On;0.0;0.0;1
6241.0;4.124015214979075; app_1 done;0.16;0.0;1
6471.0;4.772528925610586; app_1 done;0.31;0.0;1
6701.0;4.93078422809644; app_2 ON;0.3;0.0;2
6701.0;4.93078422809644;VOn= 3.86;0.3;0.0;2
6701.0;4.93078422809644; app_1 done;0.45;0.0;2
6932.0;4.268674515672634; app_1 done;0.58;0.0;2
7046.0;4.0202397208689415; app_2 done;0.57;0.14;2
7368.0;2.249077687461322; app_1 done;0.68;0.14;2
7599.0;2.3906978241047927; app_1 done;0.79;0.13;2
7691.0;2.7399257551258662; app_2 done;0.78;0.26;2
7805.0;3.266523451945106; app_2 done;0.77;0.38;2
8037.0;4.582337648984123; app_1 done;0.87;0.37;2
8269.0;5.0; app_1 done;0.97;0.36;2
8361.0;5.0; app_2 done;0.96;0.48;2
8476.0;5.0; app_2 done;0.94;0.59;2
8707.0;3.946349089261383; app_1 done;1.03;0.57;2
8937.0;3.6205907406198374; app_1 done;1.12;0.56;2
9029.0;3.894814931093201; app_2 done;1.11;0.66;2
9144.0;4.361788739963497; app_2 done;1.09;0.77;2
9375.0;4.852015372434851; app_1 done;1.17;0.75;2
9605.0;3.7151776830694647; app_1 done;1.25;0.73;2
9698.0;3.1427783655601345; app_2 done;1.24;0.82;2
9812.0;2.2374739993219666; app_2 done;1.22;0.92;2
9847.0;1.8799933521215908;PF;1.22;0.91;0
13575.0;3.8611135569316097;On;0.88;0.66;2
13807.0;5.0; app_1 done;0.94;0.65;2
14038.0;5.0; app_1 done;1.0;0.64;2
14130.0;5.0; app_2 done;0.99;0.71;2
14244.0;5.0; app_2 done;0.98;0.77;2
14476.0;5.0; app_1 done;1.04;0.76;2
14706.0;5.0; app_1 done;1.09;0.75;2
14798.0;5.0; app_2 done;1.08;0.81;2
14913.0;5.0; app_2 done;1.07;0.87;2
15145.0;5.0; app_1 done;1.12;0.86;2
15375.0;5.0; app_1 done;1.17;0.85;2
15467.0;5.0; app_2 done;1.16;0.91;2
15582.0;4.705726013462936; app_2 done;1.16;0.96;2
15814.0;3.5056832087966208; app_1 done;1.2;0.95;2
16019.0;1.8799914765653278;PF;1.19;0.94;0
20864.0;3.861194798474693;On;0.91;0.72;2
20897.0;3.9271689127728155; app_1 done;0.96;0.72;2
21127.0;3.6357191059987675; app_1 done;0.99;0.71;2
21358.0;3.7856877213785647; app_1 done;1.03;0.7;2
21449.0;3.8078031935510763; app_2 done;1.03;0.75;2
21564.0;3.969915560965096; app_2 done;1.02;0.79;2
21795.0;4.80921044174486; app_2 OFF;1.01;0.78;1
21795.0;4.80921044174486;VOn= 3.74;1.01;0.78;1
21795.0;4.80921044174486; app_1 done;1.06;0.78;1
22026.0;5.0; app_2 ON;1.04;0.77;2
22026.0;5.0;VOn= 3.86;1.04;0.77;2
22026.0;5.0; app_1 done;1.09;0.77;2
22257.0;5.0; app_1 done;1.12;0.76;2
22371.0;5.0; app_2 done;1.12;0.8;2
22694.0;5.0; app_1 done;1.15;0.79;2
22925.0;5.0; app_1 done;1.18;0.79;2
23018.0;5.0; app_2 done;1.17;0.83;2
23132.0;5.0; app_2 done;1.17;0.86;2
23364.0;5.0; app_1 done;1.2;0.86;2
23594.0;4.345944551239463; app_1 done;1.23;0.85;2
23686.0;3.867881931772441; app_2 done;1.22;0.89;2
23801.0;3.175953534111538; app_2 done;1.22;0.92;2
23955.0;1.879995473012977;PF;1.21;0.92;0
31386.0;3.861144662628764;On;0.92;0.7;2
31503.0;4.281387104708687; app_1 done;0.95;0.7;2
31734.0;4.808308665898453; app_1 done;0.98;0.69;2
31964.0;4.8981168610894805; app_1 done;1.0;0.69;2
32056.0;4.591627483836021; app_2 done;1.0;0.72;2
32170.0;4.035894868745645; app_2 done;0.99;0.75;2
32402.0;3.4297089724470995; app_1 done;1.02;0.74;2
32632.0;2.0746809875528474; app_1 done;1.04;0.74;2
32724.0;2.2061463775247154; app_2 done;1.04;0.76;2
32838.0;2.5578227464148133; app_2 done;1.04;0.79;2
33070.0;3.6434617661196915; app_1 done;1.06;0.79;2
33301.0;4.894836227610776; app_1 done;1.08;0.78;2
33394.0;5.0; app_2 done;1.08;0.81;2
33508.0;5.0; app_2 done;1.07;0.84;2
33740.0;4.72753037799328; app_1 done;1.1;0.83;2
33970.0;3.544622968008688; app_1 done;1.12;0.82;2
34062.0;3.5025784607520576; app_2 done;1.12;0.85;2
34177.0;3.745565131199742; app_2 done;1.11;0.88;2
34408.0;4.636104445809075; app_1 done;1.13;0.87;2
34638.0;4.534899246326105; app_1 done;1.15;0.87;2
34731.0;4.079042506521667; app_2 done;1.15;0.89;2
34845.0;3.4297994023196843; app_2 done;1.15;0.92;2
