timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
172.0;1.8799954730728385;PF;0.0;0.0;0
4059.0;3.7425869142962034;On;0.0;0.0;1
4175.0;4.313335261427213;VOn= 3.9400000000000004;0.0;0.0;1
4175.0;4.313335261427213; app_1 done;0.24;0.0;1
4405.0;4.320334388527422;VOn= 4.140000000000001;0.24;0.0;1
4405.0;4.320334388527422; app_1 done;0.45;0.0;1
4635.0;4.472938668029122;VOn= 4.340000000000001;0.45;0.0;1
4635.0;4.472938668029122; app_1 done;0.65;0.0;1
4865.0;4.928929047037131;VOn= 4.540000000000001;0.65;0.0;1
4865.0;4.928929047037131; app_1 done;0.82;0.0;1
5095.0;4.382474769611688; app_2 ON;0.82;0.0;2
5095.0;4.382474769611688;VOn= 3.86;0.82;0.0;2
5095.0;4.382474769611688; app_1 done;0.98;0.0;2
5325.0;3.23966697464272; app_1 done;1.13;0.0;2
5440.0;3.3089682499253747; app_2 done;1.1;0.18;2
5554.0;3.509693023188972; app_2 done;1.08;0.36;2
5808.0;4.492130443840978; app_2 OFF;1.08;0.36;1
5808.0;4.492130443840978;VOn= 3.74;1.08;0.36;1
5808.0;4.492130443840978; app_1 done;1.21;0.34;1
6038.0;5.0; app_2 ON;1.21;0.34;2
6038.0;5.0;VOn= 3.86;1.21;0.34;2
6038.0;5.0; app_1 done;1.32;0.33;2
6269.0;5.0; app_1 done;1.44;0.32;2
6384.0;5.0; app_2 done;1.41;0.47;2
6499.0;5.0; app_2 done;1.38;0.62;2
6753.0;5.0; app_2 OFF;1.38;0.62;1
6753.0;5.0;VOn= 3.74;1.38;0.62;1
6753.0;5.0; app_1 done;1.48;0.59;1
6983.0;5.0; app_2 ON;1.48;0.59;2
6983.0;5.0;VOn= 3.86;1.48;0.59;2
6983.0;5.0; app_1 done;1.58;0.57;2
7214.0;4.993736502391579; app_1 done;1.66;0.55;2
7329.0;4.478976896844564; app_2 done;1.64;0.68;2
7443.0;3.927758047274296; app_2 done;1.61;0.81;2
7697.0;4.53790158007681; app_2 OFF;1.61;0.81;1
7697.0;4.53790158007681;VOn= 3.74;1.61;0.81;1
7697.0;4.53790158007681; app_1 done;1.69;0.78;1
7927.0;5.0; app_2 ON;1.69;0.78;2
7927.0;5.0;VOn= 3.86;1.69;0.78;2
7927.0;5.0; app_1 done;1.77;0.76;2
8158.0;5.0; app_1 done;1.84;0.74;2
8273.0;5.0; app_2 done;1.81;0.85;2
8387.0;5.0; app_2 done;1.79;0.95;2
8642.0;5.0; app_2 OFF;1.79;0.95;1
8642.0;5.0;VOn= 3.74;1.79;0.95;1
8642.0;5.0; app_1 done;1.85;0.93;1
8872.0;5.0; app_2 ON;1.85;0.93;2
8872.0;5.0;VOn= 3.86;1.85;0.93;2
8872.0;5.0; app_1 done;1.92;0.9;2
9103.0;5.0; app_1 done;1.98;0.88;2
9217.0;5.0; app_2 done;1.95;0.98;2
9332.0;5.0; app_2 done;1.93;1.07;2
9586.0;4.788065837898217; app_2 OFF;1.93;1.07;1
9586.0;4.788065837898217;VOn= 3.74;1.93;1.07;1
9586.0;4.788065837898217; app_1 done;1.98;1.04;1
9816.0;3.6592114039835844; app_2 ON;1.98;1.04;2
9816.0;3.6592114039835844;VOn= 3.86;1.98;1.04;2
9816.0;3.6592114039835844; app_1 done;2.04;1.02;2
10047.0;1.893347371527857; app_1 done;2.09;1.0;2
10048.0;1.8799950240753052;PF;2.09;1.0;0
12691.0;3.8612019880291273;On;2.09;1.0;2
12924.0;4.602733446356384; app_2 OFF;2.09;1.0;1
12924.0;4.602733446356384;VOn= 3.74;2.09;1.0;1
12924.0;4.602733446356384; app_1 done;1.7;0.77;1
13154.0;5.0;VOn= 3.9400000000000004;1.7;0.77;1
13154.0;5.0; app_1 done;1.75;0.76;1
13384.0;5.0;VOn= 4.140000000000001;1.75;0.76;1
13384.0;5.0; app_1 done;1.79;0.75;1
13614.0;5.0; app_2 ON;1.79;0.75;2
13614.0;5.0;VOn= 3.86;1.79;0.75;2
13614.0;5.0; app_1 done;1.84;0.73;2
13845.0;5.0; app_1 done;1.88;0.72;2
13960.0;5.0; app_2 done;1.86;0.79;2
14075.0;5.0; app_2 done;1.85;0.85;2
14329.0;5.0; app_2 OFF;1.85;0.85;1
14329.0;5.0;VOn= 3.74;1.85;0.85;1
14329.0;5.0; app_1 done;1.88;0.84;1
14559.0;5.0; app_2 ON;1.88;0.84;2
14559.0;5.0;VOn= 3.86;1.88;0.84;2
14559.0;5.0; app_1 done;1.92;0.82;2
14790.0;5.0; app_1 done;1.96;0.81;2
14905.0;5.0; app_2 done;1.95;0.87;2
15019.0;5.0; app_2 done;1.93;0.93;2
15274.0;5.0; app_2 OFF;1.93;0.93;1
15274.0;5.0;VOn= 3.74;1.93;0.93;1
