timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
172.0;1.8799954730728385;PF;0.0;0.0;0
4059.0;3.7425869142962034;On;0.0;0.0;1
4175.0;4.313335261427213;VOn= 3.9400000000000004;0.0;0.0;1
4175.0;4.313335261427213; app_1 done;0.24;0.0;1
4405.0;4.320334388527422;VOn= 4.140000000000001;0.23;0.0;1
4405.0;4.320334388527422; app_1 done;0.45;0.0;1
4635.0;4.472938668029122;VOn= 4.340000000000001;0.43;0.0;1
4635.0;4.472938668029122; app_1 done;0.65;0.0;1
4865.0;4.928929047037131;VOn= 4.540000000000001;0.62;0.0;1
4865.0;4.928929047037131; app_1 done;0.82;0.0;1
5095.0;4.382474769611688;VOn= 4.740000000000001;0.79;0.0;1
5095.0;4.382474769611688; app_1 done;0.98;0.0;1
5325.0;3.24561169859868;VOn= 4.940000000000001;0.94;0.0;1
5325.0;3.24561169859868; app_1 done;1.13;0.0;1
5554.0;3.5095912934919444;VOn= 5.0;1.08;0.0;1
5554.0;3.5095912934919444; app_1 done;1.26;0.0;1
5784.0;4.410099617987434;VOn= 5.0;1.21;0.0;1
5784.0;4.410099617987434; app_1 done;1.38;0.0;1
6014.0;5.0;VOn= 5.0;1.33;0.0;1
6014.0;5.0; app_1 done;1.5;0.0;1
6244.0;5.0;VOn= 5.0;1.44;0.0;1
6244.0;5.0; app_1 done;1.6;0.0;1
6475.0;5.0;VOn= 5.0;1.54;0.0;1
6475.0;5.0; app_1 done;1.7;0.0;1
6705.0;5.0;VOn= 5.0;1.64;0.0;1
6705.0;5.0; app_1 done;1.79;0.0;1
6935.0;5.0;VOn= 5.0;1.73;0.0;1
6935.0;5.0; app_1 done;1.87;0.0;1
7165.0;5.0;VOn= 5.0;1.81;0.0;1
7165.0;5.0; app_1 done;1.95;0.0;1
7395.0;4.151656936575702;VOn= 5.0;1.89;0.0;1
7395.0;4.151656936575702; app_1 done;2.03;0.0;1
7625.0;4.245188270759008;VOn= 5.0;1.97;0.0;1
7625.0;4.245188270759008; app_1 done;2.1;0.0;1
7855.0;5.0; app_2 ON;2.04;0.0;2
7855.0;5.0;VOn= 3.86;2.04;0.0;2
7855.0;5.0; app_1 done;2.16;0.0;2
8086.0;5.0; app_1 done;2.23;0.0;2
8200.0;5.0; app_2 done;2.2;0.12;2
8315.0;5.0; app_2 done;2.16;0.24;2
8430.0;5.0; app_2 done;2.14;0.36;2
8684.0;5.0; app_2 OFF;2.07;0.35;1
8684.0;5.0;VOn= 3.74;2.07;0.35;1
8684.0;5.0; app_1 done;2.19;0.35;1
8914.0;5.0; app_2 ON;2.13;0.34;2
8914.0;5.0;VOn= 3.86;2.13;0.34;2
8914.0;5.0; app_1 done;2.24;0.34;2
9145.0;5.0; app_1 done;2.3;0.33;2
9260.0;5.0; app_2 done;2.27;0.43;2
9374.0;5.0; app_2 done;2.24;0.53;2
9628.0;4.596626885373242; app_2 OFF;2.18;0.52;1
9628.0;4.596626885373242;VOn= 3.74;2.18;0.52;1
9628.0;4.596626885373242; app_1 done;2.29;0.52;1
9858.0;3.405114803119282; app_2 ON;2.23;0.51;2
9858.0;3.405114803119282;VOn= 3.86;2.23;0.51;2
9858.0;3.405114803119282; app_1 done;2.33;0.51;2
10048.0;1.8799950240753052;PF;2.29;0.5;0
12691.0;3.8612019880291273;On;1.81;0.39;2
12740.0;4.092156666226381; app_2 OFF;1.81;0.39;1
12740.0;4.092156666226381;VOn= 3.74;1.81;0.39;1
12740.0;4.092156666226381; app_1 done;1.88;0.39;1
12970.0;4.744461213023847;VOn= 3.9400000000000004;1.85;0.39;1
12970.0;4.744461213023847; app_1 done;1.93;0.39;1
13200.0;5.0;VOn= 4.140000000000001;1.89;0.38;1
13200.0;5.0; app_1 done;1.97;0.38;1
13431.0;5.0;VOn= 4.340000000000001;1.94;0.37;1
13431.0;5.0; app_1 done;2.01;0.37;1
13661.0;5.0;VOn= 4.540000000000001;1.98;0.37;1
13661.0;5.0; app_1 done;2.05;0.37;1
13891.0;5.0;VOn= 4.740000000000001;2.02;0.36;1
13891.0;5.0; app_1 done;2.09;0.36;1
14121.0;5.0;VOn= 4.940000000000001;2.05;0.35;1
14121.0;5.0; app_1 done;2.12;0.35;1
14351.0;5.0;VOn= 5.0;2.09;0.35;1
14351.0;5.0; app_1 done;2.16;0.35;1
14581.0;5.0;VOn= 5.0;2.13;0.34;1
14581.0;5.0; app_1 done;2.19;0.34;1
14812.0;5.0;VOn= 5.0;2.16;0.34;1
14812.0;5.0; app_1 done;2.23;0.34;1
15042.0;5.0;VOn= 5.0;2.19;0.33;1
15042.0;5.0; app_1 done;2.26;0.33;1
15272.0;5.0;VOn= 5.0;2.23;0.33;1
15272.0;5.0; app_1 done;2.29;0.33;1
15502.0;5.0;VOn= 5.0;2.26;0.32;1
