timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
270.0;3.8359437201049094; app_2 ON;0.0;0.0;2
270.0;3.8359437201049094;VOn= 3.86;0.0;0.0;2
270.0;3.8359437201049094; app_1 done;3.7;0.0;2
501.0;4.130924550962651; app_1 done;3.99;0.0;2
615.0;4.243205318341537; app_2 done;3.25;1.63;2
960.0;4.492536482012966; app_2 OFF;3.25;1.63;1
960.0;4.492536482012966;VOn= 3.74;3.25;1.63;1
960.0;4.492536482012966; app_1 done;3.12;1.04;1
1190.0;4.607425895147715; app_2 ON;3.12;1.04;2
1190.0;4.607425895147715;VOn= 3.86;3.12;1.04;2
1190.0;4.607425895147715; app_1 done;3.36;0.84;2
1421.0;4.694986265729881; app_1 done;3.52;0.7;2
1535.0;4.730484872282803; app_2 done;3.26;1.3;2
1650.0;4.761652382791237; app_2 done;3.03;1.82;2
1904.0;4.818037534569617; app_2 OFF;3.03;1.82;1
1904.0;4.818037534569617;VOn= 3.74;3.03;1.82;1
1904.0;4.818037534569617; app_1 done;3.15;1.58;1
2134.0;4.857168019342553; app_2 ON;3.15;1.58;2
2134.0;4.857168019342553;VOn= 3.86;3.15;1.58;2
2134.0;4.857168019342553; app_1 done;3.28;1.41;2
2365.0;4.8878040704395165; app_1 done;3.38;1.27;2
2479.0;4.900423911748539; app_2 done;3.23;1.61;2
2594.0;4.911600000173761; app_2 done;3.08;1.93;2
2848.0;4.93204447685597; app_2 OFF;3.08;1.93;1
2848.0;4.93204447685597;VOn= 3.74;3.08;1.93;1
2848.0;4.93204447685597; app_1 done;3.16;1.76;1
3078.0;4.946403412131639; app_2 ON;3.16;1.76;2
3078.0;4.946403412131639;VOn= 3.86;3.16;1.76;2
3078.0;4.946403412131639; app_1 done;3.25;1.62;2
3309.0;4.957742841059253; app_1 done;3.32;1.51;2
3423.0;4.9624387529185485; app_2 done;3.21;1.75;2
3538.0;4.966609552824118; app_2 done;3.11;1.98;2
3792.0;4.974268656012505; app_2 OFF;3.11;1.98;1
3792.0;4.974268656012505;VOn= 3.74;3.11;1.98;1
3792.0;4.974268656012505; app_1 done;3.16;1.85;1
4022.0;4.979670679291847; app_2 ON;3.16;1.85;2
4022.0;4.979670679291847;VOn= 3.86;3.16;1.85;2
4022.0;4.979670679291847; app_1 done;3.23;1.74;2
4253.0;4.98394997808493; app_1 done;3.29;1.65;2
4367.0;4.985725555301868; app_2 done;3.21;1.83;2
4482.0;4.9873042627113175; app_2 done;3.12;2.01;2
4736.0;4.9902074603141555; app_2 OFF;3.12;2.01;1
4736.0;4.9902074603141555;VOn= 3.74;3.12;2.01;1
4736.0;4.9902074603141555; app_1 done;3.17;1.9;1
