timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.84;0.0;0.0;1
223.0;4.53569435442734; app_1 done;4.48;0.0;1
452.0;5.0; app_1 done;4.42;0.0;1
682.0;5.0; app_1 done;4.4;0.0;1
792.0;5.0; app_2 done;3.79;1.26;1
1016.0;5.0; app_1 done;3.94;0.98;1
1244.0;5.0; app_1 done;4.02;0.8;1
1473.0;5.0; app_1 done;4.07;0.68;1
1584.0;5.0; app_2 done;3.79;1.26;1
1808.0;5.0; app_1 done;3.87;1.11;1
2036.0;5.0; app_1 done;3.93;0.98;1
2266.0;5.0; app_1 done;3.97;0.88;1
2376.0;5.0; app_2 done;3.79;1.26;1
2600.0;5.0; app_1 done;3.85;1.15;1
2829.0;5.0; app_1 done;3.89;1.06;1
3059.0;5.0; app_1 done;3.92;0.98;1
3169.0;5.0; app_2 done;3.79;1.26;1
3393.0;5.0; app_1 done;3.83;1.18;1
3624.0;5.0; app_1 done;3.86;1.1;1
3854.0;5.0; app_1 done;3.89;1.04;1
3964.0;5.0; app_2 done;3.78;1.26;1
4189.0;5.0; app_1 done;3.82;1.19;1
4419.0;5.0; app_1 done;3.85;1.13;1
4649.0;5.0; app_1 done;3.87;1.08;1
4759.0;5.0; app_2 done;3.78;1.26;1
4984.0;5.0; app_1 done;3.81;1.2;1
5214.0;5.0; app_1 done;3.84;1.15;1
5444.0;5.0; app_1 done;3.86;1.1;1
5555.0;5.0; app_2 done;3.78;1.26;1
5779.0;5.0; app_1 done;3.81;1.21;1
6009.0;5.0; app_1 done;3.83;1.16;1
6239.0;4.9033055474179355; app_1 done;3.85;1.12;1
6350.0;4.797795464969141; app_2 done;3.78;1.26;1
6574.0;4.700648361460592; app_1 done;3.8;1.22;1
6804.0;4.368651876428356; app_1 done;3.82;1.18;1
7034.0;4.647344875335613; app_1 done;3.84;1.14;1
7145.0;4.291634569853564; app_2 done;3.78;1.26;1
7369.0;4.423242113600133; app_1 done;3.8;1.22;1
7599.0;3.8234852864937947; app_1 done;3.82;1.18;1
7829.0;3.8128786693846273; app_1 done;3.83;1.15;1
7940.0;3.7601692419912744; app_2 done;3.78;1.26;1
8164.0;3.5143809581222194; app_1 done;3.8;1.22;1
8394.0;3.5832883791754893; app_1 done;3.81;1.19;1
8624.0;3.7867974247084693; app_1 done;3.83;1.16;1
8735.0;3.9009457963814196; app_2 done;3.78;1.26;1
8959.0;4.141469654601047; app_1 done;3.8;1.23;1
9189.0;4.232908099735249; app_1 done;3.81;1.2;1
9419.0;3.620568384980011; app_1 done;3.82;1.17;1
9530.0;3.4952484151449394; app_2 done;3.78;1.26;1
9754.0;3.233082017215964; app_1 done;3.79;1.23;1
9984.0;3.4023654063505564; app_1 done;3.81;1.2;1
10214.0;3.7542549174698254; app_1 done;3.82;1.17;1
10324.0;3.9378947788663914; app_2 done;3.78;1.26;1
10549.0;4.243668619126341; app_1 done;3.79;1.23;1
10777.0;4.490438474248718; app_1 done;3.8;1.21;1
11006.0;4.390312388847328; app_1 done;3.82;1.18;1
11117.0;4.545906106971844; app_2 done;3.78;1.26;1
11341.0;5.0; app_1 done;3.79;1.23;1
11569.0;5.0; app_1 done;3.8;1.21;1
11798.0;5.0; app_1 done;3.81;1.19;1
11909.0;4.821378602203717; app_2 done;3.78;1.26;1
12133.0;5.0; app_1 done;3.79;1.24;1
12361.0;5.0; app_1 done;3.8;1.21;1
12590.0;5.0; app_1 done;3.81;1.19;1
12701.0;5.0; app_2 done;3.78;1.26;1
12925.0;5.0; app_1 done;3.79;1.24;1
13153.0;5.0; app_1 done;3.8;1.22;1
13383.0;5.0; app_1 done;3.81;1.2;1
13493.0;5.0; app_2 done;3.78;1.26;1
13718.0;5.0; app_1 done;3.79;1.24;1
13946.0;5.0; app_1 done;3.8;1.22;1
14175.0;5.0; app_1 done;3.81;1.2;1
14286.0;5.0; app_2 done;3.78;1.26;1
14510.0;4.441902490978329; app_1 done;3.79;1.24;1
14738.0;4.687392255345589; app_1 done;3.8;1.22;1
14967.0;4.964609118766667; app_1 done;3.81;1.2;1
15078.0;5.0; app_2 done;3.78;1.26;1
15302.0;5.0; app_1 done;3.79;1.24;1
15530.0;5.0; app_1 done;3.8;1.22;1
15759.0;5.0; app_1 done;3.81;1.21;1
15870.0;5.0; app_2 done;3.78;1.26;1
16094.0;5.0; app_1 done;3.79;1.24;1
16322.0;5.0; app_1 done;3.8;1.23;1
16552.0;5.0; app_1 done;3.81;1.21;1
16662.0;5.0; app_2 done;3.78;1.26;1
16887.0;5.0; app_1 done;3.79;1.24;1
17115.0;5.0; app_1 done;3.8;1.23;1
17344.0;5.0; app_1 done;3.81;1.21;1
17455.0;5.0; app_2 done;3.78;1.26;1
