timestamp;voltage;event;tput_app_1;current_apps_number
0.0;3.3;VOn= 3.84;0.0;1
223.0;4.53569435442734; app_1 done;4.48;1
452.0;5.0; app_1 done;4.42;1
680.0;5.0; app_1 done;4.41;1
907.0;5.0; app_1 done;4.41;1
1133.0;5.0; app_1 done;4.41;1
1360.0;5.0; app_1 done;4.41;1
1586.0;5.0; app_1 done;4.41;1
1813.0;5.0; app_1 done;4.41;1
2040.0;4.823550383052001; app_1 done;4.41;1
2267.0;3.6881466255735136; app_1 done;4.41;1
2493.0;1.9952176865816498; app_1 done;4.41;1
2504.0;1.879995473012977;PF;4.39;0
4816.0;3.8410619115096356;On;2.28;1
5040.0;4.455852393199076; app_1 done;2.38;1
5270.0;4.804133782879481; app_1 done;2.47;1
5497.0;5.0; app_1 done;2.55;1
5723.0;5.0; app_1 done;2.62;1
5950.0;5.0; app_1 done;2.69;1
6176.0;5.0; app_1 done;2.75;1
6403.0;4.821247971493708; app_1 done;2.81;1
6630.0;4.497602967222102; app_1 done;2.87;1
6857.0;4.443584559829761; app_1 done;2.92;1
7084.0;4.506451756965895; app_1 done;2.96;1
7311.0;4.378496039911111; app_1 done;3.01;1
7537.0;4.000170056835348; app_1 done;3.05;1
7764.0;3.7648954736076217; app_1 done;3.09;1
7991.0;3.6654443124046017; app_1 done;3.13;1
8217.0;3.5356582235096106; app_1 done;3.16;1
8444.0;3.6151510046504414; app_1 done;3.2;1
8671.0;3.834784217140654; app_1 done;3.23;1
8897.0;4.069652217570225; app_1 done;3.26;1
9125.0;4.284500713529292; app_1 done;3.29;1
9352.0;3.7119094749439236; app_1 done;3.31;1
9578.0;3.4025712361657336; app_1 done;3.34;1
9805.0;3.2564332597022227; app_1 done;3.37;1
10032.0;3.457214737348429; app_1 done;3.39;1
10258.0;3.860478086338307; app_1 done;3.41;1
10486.0;4.169276450556527; app_1 done;3.43;1
10712.0;4.464948703766579; app_1 done;3.45;1
10939.0;4.402683215024703; app_1 done;3.47;1
11165.0;4.650080937345454; app_1 done;3.49;1
11392.0;5.0; app_1 done;3.51;1
11618.0;5.0; app_1 done;3.53;1
11846.0;5.0; app_1 done;3.55;1
12072.0;4.9953096111745205; app_1 done;3.56;1
12299.0;5.0; app_1 done;3.58;1
12526.0;5.0; app_1 done;3.59;1
12753.0;5.0; app_1 done;3.61;1
12979.0;5.0; app_1 done;3.62;1
13207.0;5.0; app_1 done;3.63;1
13433.0;5.0; app_1 done;3.65;1
13660.0;5.0; app_1 done;3.66;1
13887.0;5.0; app_1 done;3.67;1
14114.0;5.0; app_1 done;3.68;1
14341.0;5.0; app_1 done;3.7;1
14568.0;4.478717962845415; app_1 done;3.71;1
14794.0;4.749541261142173; app_1 done;3.72;1
15021.0;5.0; app_1 done;3.73;1
15248.0;5.0; app_1 done;3.74;1
15475.0;5.0; app_1 done;3.75;1
15702.0;5.0; app_1 done;3.76;1
15929.0;5.0; app_1 done;3.77;1
16155.0;5.0; app_1 done;3.78;1
16382.0;5.0; app_1 done;3.78;1
16609.0;5.0; app_1 done;3.79;1
16835.0;5.0; app_1 done;3.8;1
17063.0;5.0; app_1 done;3.81;1
17290.0;5.0; app_1 done;3.82;1
17516.0;5.0; app_1 done;3.83;1
17743.0;5.0; app_1 done;3.83;1
17969.0;5.0; app_1 done;3.84;1
18196.0;5.0; app_1 done;3.85;1
18424.0;5.0; app_1 done;3.85;1
18651.0;5.0; app_1 done;3.86;1
18877.0;5.0; app_1 done;3.87;1
19104.0;5.0; app_1 done;3.87;1
19330.0;5.0; app_1 done;3.88;1
19557.0;5.0; app_1 done;3.89;1
19785.0;5.0; app_1 done;3.89;1
20012.0;4.307724012504497; app_1 done;3.9;1
20238.0;2.988669560569263; app_1 done;3.9;1
20365.0;1.879988964933425;PF;3.88;0
25377.0;3.8416347702812317;On;3.11;1
25488.0;4.2337282312103675; app_1 done;3.14;1
25712.0;4.677720881153925; app_1 done;3.15;1
25938.0;5.0; app_1 done;3.16;1
26165.0;5.0; app_1 done;3.17;1
26393.0;5.0; app_1 done;3.18;1
26619.0;5.0; app_1 done;3.19;1
26846.0;5.0; app_1 done;3.2;1
27072.0;5.0; app_1 done;3.21;1
27299.0;5.0; app_1 done;3.22;1
27527.0;5.0; app_1 done;3.23;1
27753.0;5.0; app_1 done;3.24;1
27980.0;5.0; app_1 done;3.25;1
28207.0;5.0; app_1 done;3.26;1
28433.0;5.0; app_1 done;3.27;1
28660.0;5.0; app_1 done;3.28;1
28887.0;5.0; app_1 done;3.29;1
29114.0;5.0; app_1 done;3.3;1
29341.0;5.0; app_1 done;3.31;1
29568.0;5.0; app_1 done;3.31;1
29794.0;5.0; app_1 done;3.32;1
30021.0;5.0; app_1 done;3.33;1
30248.0;5.0; app_1 done;3.34;1
30475.0;5.0; app_1 done;3.35;1
30701.0;5.0; app_1 done;3.35;1
30928.0;5.0; app_1 done;3.36;1
31155.0;5.0; app_1 done;3.37;1
31381.0;5.0; app_1 done;3.38;1
31609.0;5.0; app_1 done;3.39;1
31835.0;4.908992367482305; app_1 done;3.39;1
32062.0;3.798851128121854; app_1 done;3.4;1
32289.0;2.8229092705285517; app_1 done;3.41;1
32515.0;2.8894303404729245; app_1 done;3.41;1
32742.0;2.7808320883929647; app_1 done;3.42;1
32969.0;2.7151286563065518; app_1 done;3.43;1
33196.0;2.8740640550505856; app_1 done;3.43;1
33423.0;3.3338406655190322; app_1 done;3.44;1
33649.0;4.36142604074317; app_1 done;3.45;1
33876.0;5.0; app_1 done;3.45;1
34103.0;5.0; app_1 done;3.46;1
34330.0;5.0; app_1 done;3.47;1
34557.0;5.0; app_1 done;3.47;1
34784.0;5.0; app_1 done;3.48;1
35010.0;5.0; app_1 done;3.48;1
35237.0;5.0; app_1 done;3.49;1
35465.0;4.987825137845806; app_1 done;3.5;1
35691.0;4.767031797468217; app_1 done;3.5;1
35918.0;3.613549652916284; app_1 done;3.51;1
36142.0;1.879994519136615;PF;3.49;0
38674.0;3.8400963732081825;On;3.26;1
38704.0;3.8608892941477135; app_1 done;3.28;1
38928.0;3.9960552066772506; app_1 done;3.29;1
39155.0;4.007712712848181; app_1 done;3.29;1
39382.0;4.0999114245254775; app_1 done;3.3;1
39610.0;3.996272083141948; app_1 done;3.31;1
39836.0;4.191711543045406; app_1 done;3.31;1
40063.0;4.553951144782694; app_1 done;3.32;1
40290.0;5.0; app_1 done;3.33;1
40516.0;5.0; app_1 done;3.33;1
40743.0;5.0; app_1 done;3.34;1
40970.0;5.0; app_1 done;3.34;1
41197.0;5.0; app_1 done;3.35;1
41424.0;5.0; app_1 done;3.36;1
41651.0;5.0; app_1 done;3.36;1
41877.0;5.0; app_1 done;3.37;1
42104.0;5.0; app_1 done;3.37;1
42331.0;5.0; app_1 done;3.38;1
42558.0;5.0; app_1 done;3.38;1
42785.0;5.0; app_1 done;3.39;1
43011.0;5.0; app_1 done;3.39;1
43238.0;5.0; app_1 done;3.4;1
43465.0;5.0; app_1 done;3.41;1
43692.0;5.0; app_1 done;3.41;1
43919.0;5.0; app_1 done;3.42;1
44145.0;5.0; app_1 done;3.42;1
44372.0;5.0; app_1 done;3.43;1
44598.0;5.0; app_1 done;3.43;1
44826.0;5.0; app_1 done;3.44;1
45052.0;5.0; app_1 done;3.44;1
45279.0;5.0; app_1 done;3.45;1
45506.0;5.0; app_1 done;3.45;1
45732.0;5.0; app_1 done;3.45;1
45959.0;5.0; app_1 done;3.46;1
46187.0;5.0; app_1 done;3.46;1
46413.0;5.0; app_1 done;3.47;1
46640.0;5.0; app_1 done;3.47;1
46866.0;5.0; app_1 done;3.48;1
47093.0;5.0; app_1 done;3.48;1
47320.0;5.0; app_1 done;3.49;1
47548.0;5.0; app_1 done;3.49;1
47774.0;4.682769888481744; app_1 done;3.5;1
