timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.84;0.0;0.0;1
172.0;1.8799954730728385;PF;0.0;0.0;0
6180.0;3.8407002473783454;On;0.0;0.0;1
6240.0;4.051072545921382; app_1 done;0.16;0.0;1
6465.0;4.713346940173826; app_1 done;0.31;0.0;1
6693.0;4.88759009478326; app_1 done;0.45;0.0;1
7013.0;4.015659259491874; app_2 done;0.43;0.14;1
7237.0;3.255680701044995; app_1 done;0.55;0.14;1
7468.0;2.09877484757453; app_1 done;0.67;0.13;1
7697.0;2.7624400950929062; app_1 done;0.78;0.13;1
8017.0;4.472357206114337; app_2 done;0.75;0.25;1
8241.0;5.0; app_1 done;0.85;0.24;1
8470.0;5.0; app_1 done;0.94;0.24;1
8699.0;3.9921320046849593; app_1 done;1.03;0.23;1
9019.0;3.859258109117022; app_2 done;1.0;0.33;1
9244.0;4.713518182749716; app_1 done;1.08;0.32;1
9475.0;4.393279793814302; app_1 done;1.16;0.32;1
9704.0;3.090564381739723; app_1 done;1.24;0.31;1
9845.0;1.8799991245649461;PF;1.22;0.3;0
13569.0;3.8414848827957977;On;0.88;0.22;1
13869.0;5.0; app_2 done;0.87;0.29;1
14093.0;5.0; app_1 done;0.92;0.28;1
14321.0;5.0; app_1 done;0.98;0.28;1
14550.0;5.0; app_1 done;1.03;0.27;1
14871.0;5.0; app_2 done;1.01;0.34;1
15095.0;5.0; app_1 done;1.06;0.33;1
15326.0;5.0; app_1 done;1.11;0.33;1
15555.0;4.8251806134174355; app_1 done;1.16;0.32;1
15876.0;3.103975809224358; app_2 done;1.13;0.38;1
16019.0;1.8799914765653278;PF;1.12;0.37;0
20850.0;3.841009318218859;On;0.86;0.29;1
20961.0;3.9929534414670407; app_1 done;0.91;0.29;1
21185.0;3.6995862708923744; app_1 done;0.94;0.28;1
21414.0;3.7924824320719184; app_1 done;0.98;0.28;1
21735.0;4.556284612241729; app_2 done;0.97;0.32;1
21959.0;5.0; app_1 done;1.0;0.32;1
22190.0;5.0; app_1 done;1.04;0.32;1
22419.0;5.0; app_1 done;1.07;0.31;1
22740.0;5.0; app_2 done;1.06;0.35;1
22964.0;5.0; app_1 done;1.09;0.35;1
23194.0;5.0; app_1 done;1.12;0.34;1
23424.0;5.0; app_1 done;1.15;0.34;1
23745.0;3.531240514927644; app_2 done;1.14;0.38;1
23955.0;1.879995473012977;PF;1.13;0.38;0
31375.0;3.8408831079499453;On;0.86;0.29;1
31405.0;3.9443216353140005; app_1 done;0.89;0.29;1
31629.0;4.651912114534484; app_1 done;0.92;0.28;1
31859.0;4.8725573965591655; app_1 done;0.94;0.28;1
32180.0;4.022471184113206; app_2 done;0.93;0.31;1
32404.0;3.4176091894558533; app_1 done;0.96;0.31;1
32635.0;2.077255420208396; app_1 done;0.98;0.31;1
32864.0;2.6608761350872414; app_1 done;1.0;0.3;1
33185.0;4.330326380053806; app_2 done;0.99;0.33;1
33409.0;5.0; app_1 done;1.02;0.33;1
33639.0;5.0; app_1 done;1.04;0.33;1
33870.0;4.1029738652090035; app_1 done;1.06;0.32;1
34190.0;3.7879090632711705; app_2 done;1.05;0.35;1
34414.0;4.654964236641322; app_1 done;1.08;0.35;1
34645.0;4.498190763600893; app_1 done;1.1;0.35;1
34874.0;3.2375419058919883; app_1 done;1.12;0.34;1
35037.0;1.879988947714201;PF;1.11;0.34;0
38761.0;3.8414819763706873;On;1.01;0.31;1
39061.0;5.0; app_2 done;1.0;0.33;1
39285.0;5.0; app_1 done;1.02;0.33;1
39513.0;5.0; app_1 done;1.04;0.33;1
39742.0;5.0; app_1 done;1.06;0.33;1
40063.0;5.0; app_2 done;1.05;0.35;1
40287.0;5.0; app_1 done;1.07;0.35;1
40517.0;5.0; app_1 done;1.09;0.35;1
40748.0;4.823487071255323; app_1 done;1.1;0.34;1
41068.0;3.1013425155435956; app_2 done;1.1;0.37;1
41211.0;1.8799914765653278;PF;1.09;0.36;0
46042.0;3.841009318218859;On;0.98;0.33;1
46153.0;3.9929534414670407; app_1 done;1.0;0.33;1
46377.0;3.6996561770313745; app_1 done;1.01;0.32;1
46606.0;3.7925151420087655; app_1 done;1.03;0.32;1
46927.0;4.55680958130671; app_2 done;1.02;0.34;1
47151.0;5.0; app_1 done;1.04;0.34;1
47382.0;5.0; app_1 done;1.06;0.34;1
47612.0;5.0; app_1 done;1.07;0.34;1
47932.0;5.0; app_2 done;1.06;0.35;1
48156.0;5.0; app_1 done;1.08;0.35;1
48387.0;5.0; app_1 done;1.1;0.35;1
48616.0;5.0; app_1 done;1.11;0.35;1
48937.0;3.5338966498347846; app_2 done;1.1;0.37;1
49147.0;1.879995473012977;PF;1.1;0.37;0
