timestamp;voltage;event;tput_app_1;current_apps_number
0.0;3.3;VOn= 3.84;0.0;1
172.0;1.8799954730728385;PF;0.0;0
6180.0;3.8407002473783454;On;0.0;1
6240.0;4.051072545921382; app_1 done;0.16;1
6465.0;4.713346940173826; app_1 done;0.31;1
6693.0;4.88759009478326; app_1 done;0.45;1
6922.0;4.314549898033143; app_1 done;0.58;1
7151.0;3.7787492889726204; app_1 done;0.7;1
7381.0;2.1182613850275454; app_1 done;0.81;1
7610.0;2.4284945857948825; app_1 done;0.92;1
7839.0;3.427246368787367; app_1 done;1.02;1
8069.0;4.720786952173342; app_1 done;1.12;1
8298.0;5.0; app_1 done;1.21;1
8528.0;4.818485114017958; app_1 done;1.29;1
8758.0;3.664134809234075; app_1 done;1.37;1
8987.0;3.751852780731892; app_1 done;1.45;1
9216.0;4.627082619936577; app_1 done;1.52;1
9446.0;4.5273060187375265; app_1 done;1.59;1
9675.0;3.278276304985981; app_1 done;1.65;1
9845.0;1.879992587121055;PF;1.63;0
13569.0;3.8414830157554407;On;1.18;1
13630.0;4.2065388406394995; app_1 done;1.25;1
13854.0;5.0; app_1 done;1.3;1
14082.0;5.0; app_1 done;1.35;1
14311.0;5.0; app_1 done;1.4;1
14541.0;5.0; app_1 done;1.44;1
14770.0;5.0; app_1 done;1.49;1
14999.0;5.0; app_1 done;1.53;1
15229.0;5.0; app_1 done;1.58;1
15458.0;5.0; app_1 done;1.62;1
15688.0;4.201674675610407; app_1 done;1.66;1
15917.0;2.811599430250597; app_1 done;1.7;1
16019.0;1.8799914765653278;PF;1.69;0
20850.0;3.841009318218859;On;1.29;1
20993.0;3.8815293533398356; app_1 done;1.33;1
21217.0;3.733603067900922; app_1 done;1.37;1
21448.0;3.8054538723490934; app_1 done;1.4;1
21678.0;4.326835153527154; app_1 done;1.43;1
21907.0;5.0; app_1 done;1.46;1
22136.0;5.0; app_1 done;1.49;1
22366.0;5.0; app_1 done;1.52;1
22595.0;5.0; app_1 done;1.55;1
22825.0;5.0; app_1 done;1.58;1
23054.0;5.0; app_1 done;1.6;1
23284.0;5.0; app_1 done;1.63;1
23513.0;4.726052736485056; app_1 done;1.66;1
23742.0;3.5473154368212767; app_1 done;1.68;1
23955.0;1.879995473012977;PF;1.67;0
31375.0;3.8408831079499453;On;1.27;1
31405.0;3.9443216353140005; app_1 done;1.31;1
31629.0;4.65206574147764; app_1 done;1.33;1
31859.0;4.872599371099153; app_1 done;1.35;1
32089.0;4.433276053587943; app_1 done;1.37;1
32319.0;3.9134152002248928; app_1 done;1.39;1
32548.0;2.358535746976105; app_1 done;1.41;1
32778.0;2.350707782509139; app_1 done;1.43;1
33007.0;3.3083644316120266; app_1 done;1.45;1
33236.0;4.607236603288509; app_1 done;1.47;1
33465.0;5.0; app_1 done;1.49;1
33696.0;4.923142361228716; app_1 done;1.51;1
33925.0;3.8059431221698343; app_1 done;1.53;1
34154.0;3.6814391391978103; app_1 done;1.55;1
34384.0;4.545320565131664; app_1 done;1.57;1
34613.0;4.642906169241578; app_1 done;1.59;1
34842.0;3.4357728596401818; app_1 done;1.61;1
35037.0;1.8799906729322078;PF;1.6;0
38761.0;3.841482469078807;On;1.44;1
38806.0;4.114578929393793; app_1 done;1.47;1
39030.0;5.0; app_1 done;1.49;1
39260.0;5.0; app_1 done;1.5;1
39489.0;5.0; app_1 done;1.52;1
39719.0;5.0; app_1 done;1.54;1
39948.0;5.0; app_1 done;1.55;1
40177.0;5.0; app_1 done;1.57;1
40407.0;5.0; app_1 done;1.58;1
40637.0;5.0; app_1 done;1.6;1
40866.0;4.270709975717923; app_1 done;1.62;1
41096.0;2.905897502037756; app_1 done;1.63;1
41211.0;1.8799914765653278;PF;1.63;0
46042.0;3.841009318218859;On;1.46;1
46185.0;3.881573205076865; app_1 done;1.47;1
46409.0;3.7336677251398767; app_1 done;1.49;1
46638.0;3.80553345863617; app_1 done;1.5;1
46867.0;4.317133730231685; app_1 done;1.51;1
47096.0;5.0; app_1 done;1.53;1
47326.0;5.0; app_1 done;1.54;1
47555.0;5.0; app_1 done;1.56;1
47785.0;5.0; app_1 done;1.57;1
48015.0;5.0; app_1 done;1.58;1
48244.0;5.0; app_1 done;1.6;1
48473.0;5.0; app_1 done;1.61;1
48703.0;4.7344819303584185; app_1 done;1.62;1
48932.0;3.558549788262867; app_1 done;1.63;1
49147.0;1.879995473012977;PF;1.63;0
